Parameter,Unit,Test configuration,Value,,Comment
,,,Test 1,Test 2,
Active cell,,"1, 2",Cell 1,,
Neighbour cell,,"1, 2",Cell 2,,Cell to be identified.
RF Channel Number,,"1, 2",1: Cell 1 and Cell 2,,
SMTC configuration,,"1, 2",SMTC.2,,
A3-Offset,dB,"1, 2",-4.5,,
CP length,,"1, 2",Normal,,
Hysteresis,dB,"1, 2",0,,
Time To Trigger,s,"1, 2",0,,
Filter coefficient,,"1, 2",0,,L3 filtering is not used
DRX,,"1, 2",DRX.1,DRX. 7,
Time offset between serving and neighbour cells,,"1, 2",3 s,,Synchronous cells
T1,s,"1, 2",5,,
T2,s,"1, 2",5,15,
