Parameter,Unit,Cell 1,,Cell 2,
,,T1,T2,T1,T2
Satellite information,,SSC.1 for Config 1SSC.2 for Config 2,,NSC.1 for Config 1NSC.2 for Config 2,
PDSCH RMC configuration,,SR.1.1 FDD,,SR.1.1 FDD,
RMSI CORESET configuration,,CR.1.1 FDD,,CR.1.1 FDD,
Dedicated CORESET configuration,,CCR.1.1 FDD,,CCR.1.1 FDD,
OCNG Pattern,,OP.1 defined in A.3.2.1,,OP.1 defined in A.3.2.1,
Initial DL BWP configuration,,DLBWP.0.1,,DLBWP.0.1,
Initial UL BWP configuration,,ULBWP.0.1,,ULBWP.0.1,
SSB configuration,,SSB.1 FR1,,SSB.1 FR1,
SMTC configuration,,#1: SMTC.2,,#1: SMTC.6,
RLM-RS,,SSB,,SSB,
Qrxlevmin,dBm/SCS,-130,,-130,
Pcompensation,dB,0,,0,
Qhysts,dB,0,,0,
"Qoffsets, n",dB,0,,0,
Cell_selection_and_reselection_quality_measurement,,SS-RSRP,,SS-RSRP,
,dB,16,-3.11,-infinity,2.79
Note2,dBm/SCS,-98,,,
Note2,dBm/15 kHz,-98,,,
,dB,16,13,-infinity,16
SS-RSRP Note3,dBm/SCS,-82,-85,-infinity,-82
Io,dBm/9.36 MHz,-53.94,-52.21,Same as parameters specified in Cell 1 columns-,
Treselection,s,0,0,0,0
SintrasearchP,dB,40,,40,
Propagation Condition,,AWGN,,,
