Parameter,Unit,Test configuration,Cell 1,
,,,T1,T2
Satellite information,,"1,3",SSC.1,
,,"2,4",SSC.2,
TDD configuration,,1-4,N/A,
PDSCH parameters,,1-4,SR.1.1 FDD,
RMSI CORESET parameters,,1-4,CR.1.1 FDD,
Dedicated CORESET parameters,,1-4,CCR.1.1 FDD,
SSB parameters,,1-4,SSB.1 FR1,
NR SMTC parameters,,1-4,SMTC.2,
OCNG Pattern,,1-4,OP.1 defined in A.3.2.1,
Initial DL BWP configuration,,1-4,DLBWP.0.1,
Initial UL BWP configuration,,1-4,ULBWP.0.1,
RLM-RS,,1-4,SSB,
Qrxlevmin,dBm/SCS,1-4,-140,
,dBm/SCS,1-4,-98,
,dBm/15 kHz,1-4,-98,
SS-RSRP,dBm/SCS,1-4,-84,-84
,dB,1-4,14,14
,dB,1-4,14,14
Io,dBm/9.36 MHz,1-4,-55.88,-55.88
Treselection,s,1-4,0,
SnonintrasearchP,dB,1-4,50,
"Threshx, highP (Note 2)",dB,1-4,48,
"Threshserving, lowP",dB,1-4,44,
"Threshx, lowP",dB,1-4,50,
Propagation Condition,,1-4,AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:This refers to the value of  Threshx, high  which is included in NR system information, and is a threshold for the E-UTRA target cell",,,,
