Parameter,,Configurations,Unit,Test 1,
,,,,Cell 1,Cell 2
RF Channel Number,,,,1,2
BWchannel,,,MHz,40,40
SSB configuration,"Semi-static channel access Note 1, 3","1,2,3",,"Configuration 1,2: SSB.1 FR1Configuration 3: SSB.2 FR1",SSB.1 CCA
,"Dynamic channel access Note 2, 3","1,2,3",,"Configuration 1,2: SSB.1 FR1Configuration 3: SSB.2 FR1",SSB.2 CCA
"PCCA_DL for dynamic channel access Note 1,3",,"1,2,3",,1,PCCA_DL_1=0.75PCCA_DL_2=0.75
"PCCA_DL for semi-static channel access Note 2,3",,"1,2,3",,1,PCCA_DL=0.9375
PCCA_UL,,,,1,1
DL CCA model,,,,N/A,As specifieed in A.3.26.2.1
UL CCA model,,,,N/A,As specified in A.3.26.2.2
Measurement bandwidth,,,,Same as channel access bandwidth,
Channel access bandwidth,,,MHz,20,
DRX Cycle configuration,,,ms,Not Applicable,
PDSCH Reference measurement channel,,1,,SR.1.1 FDD,SR.1.1 CCA
,,"2,3",,SR.1.1 TDD,
RMSI CORESET Reference Channel,,1,,CR.1.1 FDD,CR.1.1 CCA
,,"2,3",,CR.1.1 TDD,
Dedicated CORESET Reference Channel,,1,,CCR.1.1 FDD,CCR.1.1 CCA
,,"2,3",,CCR.1.1 TDD,
OCNG Patterns,,,,OP.1,OP.1
EPRE ratio of PSS to SSS,,,dB,0,0
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,
in slots not corresponding to RSSI measurement time configuration (RMTC),,,dBm/SCS,-106,-106
in slots corresponding to RSSI measurement time configuration (RMTC),,,dBm/SCS,-106,-87
in slots not corresponding to RSSI measurement time configuration (RMTC),,,dB,2.5,2.5
in slots corresponding to RSSI measurement time configuration (RMTC),,,dB,2.5,-Infinity
SS-RSRP in slots not corresponding to RSSI measurement time configuration (RMTC),,,dBm/SCS,-103.5,-103.5
SS-RSRP in slots corresponding to RSSI measurement time configuration (RMTC),,,,-103.5,-Infinity
Io within measurement bandwidth in slots not corresponding to RSSI measurement time configuration (RMTC),,,dBm/measBW,-77.96,-77.96
Io within measurement bandwidth in slots corresponding to RSSI measurement time configuration (RMTC),,,dBm/measBW,-77.96,-58.96
Propagation condition,,,-,AWGN,
channelOccupancyThreshold,,,dBm,-83,
"NOTE 1:For UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 2:For UE supporting dynamic channel access and network configuring dynamic channel occupancy.NOTE 3:For a UE supporting both semi-static and dynamic channel access, the UE can be tested under dynamic channel occupancy only.",,,,,
