Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
"UE position (L,B,H)",,,"(0, 0, 0)","Set by any pre-configured means(L,B,H) is Geodetic coordinate, where L is latitude, B is longitude, and H is height."
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
A3-Offset,,dB,0,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
Time offset between cells,,s,3,Synchronous cells
T1,,s,5,
T2,,s,1 for sub-test 1TBD for sub-test 2,
