Parameter,,Test configuration,Unit,Cell 1,,,Cell 2,,,
,,,,T1,T2,T3,T1,,T2,T3
Satellite information,,Config 1,,SSC.1,,,NSC.1,,,
,,Config 2,,SSC.2,,,NSC.2,,,
NR RF Channel Number,,"Config 1,2",,1,,,2,,,
BWchannel,,,MHz,"10: NPRB,c = 52",,,"10: NPRB,c = 52",,,
BWP BW,,,MHz,"10: NPRB,c = 52",,,"10: NPRB,c = 52",,,
DRX Cycle,,"Config 1,2",ms,Not Applicable,,,,,,
PDSCH Reference measurement channel,,,,SR.1.1 FDD,,,,,,
CORESET Reference Channel,,,,CR.1.1 FDD,,,,,,
TRS configuration,,,,TRS.1.1 FDD,,,,,,
OCNG Patterns,,,,OP.1,,,,,,
SMTC Configuration,,,,SMTC.2,,,,SMTC.5,,
SSB Configuration,,,,SSB.1 FR1,,,,SSB.5 FR1,,
PDSCH/PDCCH subcarrier spacing,,,kHz,15 kHz,,,,,,
PUCCH/PUSCH subcarrier spacing,,,kHz,15 kHz,,,,,,
PRACH configuration,,,,FR1 PRACH configuration 1,,,,,,
BWP configuration,Initial DL BWP,"Config 1,2",,DLBWP.0.1,,,,,,
,Dedicated DL BWP,,,DLBWP.1.1,,,,,,
,Initial UL BWP,,,ULBWP.0.1,,,,,,
,Dedicated UL BWP,,,ULBWP.1.1,,,,,,
EPRE ratio of PSS to SSS,,"Config 1,2",dB,0,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,
Note2,,"Config 1,2",dBm/15 kHz,-98,,,,,,
Note2,,,dBm/SCS,-98,,,,,,
,,,dB,4,4,4,-Infinity,,9,9
,,,dB,4,4,4,-Infinity,,9,9
SSB_RP,,,dBm/SCS,-94,-94,-94,-Infinity,,-89,-89
IoNote3,,,dBm/9.36 MHz,-64.59,-64.59,-64.59,-70.05,,-60.53,-60.53
Propagation condition,,,-,AWGN,,,AWGN,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,,,
