Parameter,Unit,Cell 1,,,Cell 2,,
,,T1,T2,T3,T1,T2,T3
Satellite information,,SSC.1 for Config 1SSC.2 for Config 2,,,NSC.1 for Config 1NSC.2 for Config 2,,
PDSCH RMC configuration,,SR.1.2 FDD,,,SR.1.2 FDD,,
RMSI CORESET configuration,,CR.1.3 FDD,,,CR.1.3 FDD,,
Dedicated CORESET configuration,,CCR.1.6 FDD,,,CCR.1.6 FDD,,
OCNG Pattern,,OP.1 defined in A.3.2.1,,,OP.1 defined in A.3.2.1,,
Initial DL BWP configuration,,DLBWP.0.1,,,DLBWP.0.1,,
Initial UL BWP configuration,,ULBWP.0.1,,,ULBWP.0.1,,
SSB configuration,,SSB.13 FR1,,,SSB.13 FR1,,
SMTC configuration,,#1: SMTC.2 for Cell 1#2: SMTC.5 for Cell 2,,,#1: SMTC.6 for Cell 1#2: SMTC.2 for Cell 2,,
RLM-RS,,SSB,,,SSB,,
Qrxlevmin,dBm/SCS,-130,,,-130,,
Pcompensation,dB,0,,,0,,
Qhysts,dB,0,,,0,,
"Qoffsets, n",dB,0,,,0,,
Cell_selection_and_reselection_quality_measurement,,SS-RSRP,,,SS-RSRP,,
,dB,16,-3.11,2.79,-infinity,2.79,-3.11
Note2,dBm/SCS,-98,,,,,
Note2,dBm/15 kHz,-98,,,,,
,dB,16,13,16,-infinity,16,13
SS-RSRP Note3,dBm/SCS,-82,-85,-82,-infinity,-82,-85
Io,dBm/2.7 MHz,-59.34,-57.61,-57.61,Same as parameters specified in Cell 1 columns-,,
Treselection,s,0,0,0,0,0,0
SintrasearchP,dB,60,,,60,,
Propagation Condition,,AWGN,,,,,
