Parameter,,Config,Unit,Test 1,,,Test 2,,
,,,,Cell 1,,Cell 2,Cell 1,,Cell 2
SSB ARFCN,,"1, 2",,freq1,,freq2,freq1,,freq2
BWchannel,,"1, 2",MHz,"10: NPRB,c = 52",,,"10: NPRB,c = 52",,
PDSCH Reference measurement channel,,"1, 2",,SR.1.1 FDD,,-,SR.1.1 FDD,,-
RMSI CORESET Reference Channel,,"1, 2",,CR.1.1 FDD,,-,CR.1.1 FDD,,-
Dedicated CORESET Reference Channel,,"1, 2",,CCR.1.1 FDD,,-,CCR.1.1 FDD,,-
SSB configuration,,"1, 2",,SSB.1 FR1,,,SSB.1 FR1,,
OCNG Patterns,,"1, 2",,OP.1,,,OP.1,,
TRS configuration,,"1, 2",,TRS.1.1 FDD,,-,TRS.1.1 FDD,,
Initial BWP Configuration,,"1, 2",,DLBWP.0.1ULBWP.0.1,,,DLBWP.0.1ULBWP.0.1,,
Dedicated BWP configuration,,"1, 2",,DLBWP.1.1ULBWP.1.1,,,DLBWP.1.1ULBWP.1.1,,
Satellite information,,1,,SSC.1,NSC.1,,SSC.1,NSC.1,
,,2,,SSC.2,NSC.2,,SSC.2,NSC.2,
Time offset with Cell 1,,"1, 2",ms,-,3,,-,3,
SMTC configuration,,"1, 2",,SMTC.2,,,SMTC.2,,
EPRE ratio of PSS to SSS,,"1, 2",dB,0,,0,0,,0
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,,,,
Note2,Depending on band group,"1,2",dBm/15 kHz,-94.65,,,( for Channel 2 +8 dB),,-115 + ΔBG_offset
Note2,Depending on band group,"1,2",dBm/SSB SCS,-94.65,,,( for Channel 2 +8 dB),,-115 + ΔBG_offset
,,"1,2",dB,10,,10,13,,-3
SS-RSRPNote3,Depending on band group,"1,2",dBm/SCS,-84.65,,,(RSRP for Cell 2 +25 dB),,-118.00 + ΔBG_offset
IoNote3,Depending on band group,"1,2",dBm/9.36 MHz,-56.28,,,(Io for Channel 2 +19.75 dB),,-85.28 + ΔBG_offset
,,"1,2",dB,10,,10,13,,-3
Propagation condition,,"1,2",-,AWGN,,,AWGN,,
Antenna configuration,,"1,2",,1x2,,,1x2,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:The band group offset, ΔBG_offset , is defined in TS 38.533 [5] Table 3A.4.1A-2.",,,,,,,,,
