Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2",Cell 1,
Neighbour cell,,"1, 2",Cell 2,Cell to be identified.
RF Channel Number,,"1, 2",1: Cell 1 and Cell 2,
SSB configuration,,"1, 2",SSB.1 FR1,
SMTC1 configuration,,"1, 2",SMTC.6,
SMTC2 configuration,,"1, 2",SMTC.2,
A3-Offset,dB,"1, 2",-4.5,
CP length,,"1, 2",Normal,
Hysteresis,dB,"1, 2",0,
Time To Trigger,s,"1, 2",0,
Filter coefficient,,"1, 2",0,L3 filtering is not used
DRX,ms,"1, 2",,OFF
Time offset between serving and neighbour cells,,"1, 2",3 ms,Asynchronous cells.The timing of Cell 2 is 3ms earlier than the timing of Cell 1.
T1,s,"1, 2",5,
T2,s,"1, 2",5,
