Parameter,,Unit,Cell 1Note1,,,Cell 2Note1,,
,,,T1,T2,T3,T1,T2,T3
Satellite configurationNote2,,,SSC.2,,N/A,N/A,SSC.2,
BWchannel,,MHz,"100: NPRB,c = 66 (Config 1)20: NPRB,c = 51 (Config 2)",,,,"100: NPRB,c = 66 (Config 1)20: NPRB,c = 51 (Config 2)",
BWP BW,,MHz,"100: NPRB,c = 66 (Config 1)20: NPRB,c = 51 (Config 2)",,,,"100: NPRB,c = 66 (Config 1)20: NPRB,c = 51 (Config 2)",
Kmac,,ms,0,,,,0,
DRX Cycle,,ms,Not Applicable,,,,Not Applicable,
PDSCH Reference measurement channel,,,SR.3.1 FDD (Config 1)SR.2.1 TDD (Config 2),,,,SR.3.1 FDD (Config 1)SR.2.1 TDD (Config 2),
CORESET Reference Channel,,,CR.3.1 FDD (Config 1)CR.2.1 TDD (Config 2),,,,CR.3.1 FDD (Config 1)CR.2.1 TDD (Config 2),
TRS configuration,,,TRS.2.1 FDD (Config 1)TRS.1.2 FDD (Config 2),,,,TRS.2.1 FDD (Config 1)TRS.1.2 FDD (Config 2),
OCNG Patterns,,,OP.1,,,,OP.1,
SMTC Configuration,,,SMTC.1,,,,SMTC.5,
SSB Configuration,,,SSB.3 FR2 (Config 1)SSB.2 FR1 (Config 2),,,,SSB.5 FR2 (Config 1)SSB.2 FR1 (Config 2),
PDSCH/PDCCH subcarrier spacing,,kHz,120 kHz (Config 1)30 kHz (Config 2),,,,120 kHz (Config 1)30 kHz (Config 2),
PUCCH/PUSCH subcarrier spacing,,kHz,120 kHz (Config 1)30 kHz (Config 2),,,,120 kHz (Config 1)30 kHz (Config 2),
PRACH configuration,,,FR2 PRACH configuration 1 (Config 1)FR1 PRACH configuration 1 (Config 2),,,,N/A,
BWP configuration,Initial DL BWP,,DLBWP.0.1,,,,DLBWP.0.1,
,Dedicated DL BWP,,DLBWP.1.1,,,,DLBWP.1.1,
,Initial UL BWP,,ULBWP.0.1,,,,ULBWP.0.1,
,Dedicated UL BWP,,ULBWP.1.1,,,,ULBWP.1.1,
EPRE ratio of PSS to SSS,,dB,0,,,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,
Note2,,dBm/15 kHz,-98,,,,,
Note2,,dBm/SCS,-89 (Config 1)-95 (Config 2),,,,,
,,dB,4,4,-Infinity,-Infinity,9,9
,,dB,4,4,-Infinity,-Infinity,9,9
SSB_RP,,dBm/SCS,-85 (Config 1)-91 (Config 2),-85 (Config 1)-91 (Config 2),-Infinity,-Infinity,-76 (Config 1)-83 (Config 2),-76 (Config 1)-83 (Config 2)
IoNote3,,dBm/95.04 MHz (Config 1)dBm/18.36 MHz (Config 2),-54.56 (Config 1)-61.68 (Config 2),-54.56 (Config 1)-61.68 (Config 2),-60.01 (Config 1)-67.13 (Config 2),-60.01 (Config 1)-67.13 (Config 2),-46.80 (Config 1)-54.87 (Config 2),-46.80 (Config 1)-54.87 (Config 2)
Propagation condition,,-,AWGN,,,,,
"NOTE 1:Cell 1 and Cell 2 have same PCI. Satellite serving for Cell 1 and Satellite serving for Cell 2 are two different NGSO satellites.NOTE 2:SSB transmit timing from TE should fit the SSB-timeOffset and the nominal propagation delay difference between serving satellite and target satellite. The nominal propagation delay is counted from the SSB-TimeOffset reference point to UE, which based on satellite locations and UE location known to the TE in this test case.NOTE 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 4:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 5:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.",,,,,,,,
