Parameter,,Unit,Value,Comment
RF Channel Number,,,1,One NR NTN satellite RF channel
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,Unknown target cell operating with 12PRB SSB bandwidth
Final condition,Active cell,,Cell 2,Unknown target cell operating with 12PRB SSB bandwidth
"UE position (N,S, H)",,,"(0, 0, 0)",Set by any pre-configured means
A3-Offset,,dB,0,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Time offset between cells,,,3 s,Synchronous cells
T1,,s,5,
T2,,s,5,
