Parameter,,Test configuration,Unit,Cell 1,,,Cell 2,,
,,,,T1,T2,T3,T1,T2,T3
Satellite information,,Config 1,,SSC.1,,,NSC.1,,
,,Config 2,,SSC.2,,,NSC.2,,
,,Config 3,,SSC.1,,,NSC.1,,
,,Config 4,,SSC.2,,,NSC.2,,
Assumption for UE beamsNote4,,,,Rough,,,Rough,,
AoA setup,,,,Setup 1 as defined in A.3.15,,,,,
NR RF Channel Number,,"Config 1,2",,1,,,1,,
Duplex mode,,,,FDD,,,,,
BWchannel,,"Config 1,2",MHz,"100: NPRB,c = 66",,,"100: NPRB,c = 66",,
,,"Config 3,4",MHz,"10: NPRB,c = 52",,,"10: NPRB,c = 52",,
BWP BW,,"Config 1,2",MHz,"100: NPRB,c = 66",,,"100: NPRB,c = 66",,
,,"Config 3,4",MHz,"10: NPRB,c = 52",,,"10: NPRB,c = 52",,
Data PRBs allocated,,"Config 1,2",,66,,,,,
,,"Config 3,4",,,,,,,
TACommon,,"Config 1,2,3,4",s,0,,,0,,
TACommonDrift,,,s,0,,,0,,
TACommonDriftVariation,,,s,0,,,0,,
Koffset,,"Config 1,3",ms,239,,,239,,
,,"Config 2,4",,4,,,4,,
Kmac,,"Config 1,2,3,4",ms,0,,,0,,
DRX Cycle,,,ms,Not Applicable,,,,,
PDSCH Reference measurement channel,,"Config 1,2",,SR3.1 TDD,,,,,
,,"Config 3,4",,SR.2.1 TDD,,,,,
CORESET Reference Channel,,"Config 1,2",,CR3.1 TDD,,,,,
,,"Config 3,4",,CCR.2.1 TDD,,,,,
TRS configuration,,"Config 1,2",,TRS.2.1 TDD,,,,,
,,"Config 3,4",,TRS.1.2 TDD,,,,,
OCNG Patterns,,"Config 1,2,3,4",,OP.1,,,,,
SMTC Configuration,,"Config 1,2,3,4",,SMTC.1,,,,,
SSB Configuration,,"Config 1,2",,SSB. 3 FR2,,,,,
,,"Config 3,4",,SSB.1 FR1,,,,,
PDSCH/PDCCH subcarrier spacing,,"Config 1,2",kHz,120,,,,,
,,"Config 3,4",,15,,,,,
PUCCH/PUSCH subcarrier spacing,,"Config 1,2",,120,,,,,
,,"Config 3,4",,15,,,,,
PRACH configuration,,"Config 1,2",,FR2 PRACH configuration 1,,,,,
,,"Config 3,4",,FR1 PRACH Configuration 1,,,,,
BWP configuration,Initial DL BWP,"Config 1,2,3,4",,DLBWP.0.1,,,,,
,Dedicated DL BWP,,,DLBWP.1.1,,,,,
,Initial UL BWP,,,ULBWP.0.1,,,,,
,Dedicated UL BWP,,,ULBWP.1.1,,,,,
EPRE ratio of PSS to SSS,,"Config 1,2,3,4",dB,0,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,
Note2,,"Config 1,2,3,4",dBm/15 kHz,-104.7,,,,,
Note2,,,dBm/SCS,-95.7,,,,,
,,,dB,6,-1.8,-1.8,-Infinity,0,0
,,,dB,6,6,6,-Infinity,7,7
IoNote3,,,dBm/9.36 MHz,-59.7,-56.7,-56.7,-61.41,-59.7,-56.7
Propagation condition,,,-,AWGN,,,AWGN,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in [B.2.1.3], and does not limit UE implementation or test system implementation.",,,,,,,,,
