Parameter,Unit,Cell 1,,,Cell 2,,
,,T1,T2,T3,T1,T2,T3
Satellite information,,SSC.2 for Config 1,,,SSC.2 for Config 1,,
PDSCH RMC configuration,,SR.1.1 FDD,,,SR.1.1 FDD,,
RMSI CORESET RMC configuration,,CR.1.1 FDD,,,CR.1.1 FDD,,
Dedicated CORESET RMC configuration,,CCR.1.1 FDD,,,CCR.1.1 FDD,,
OCNG Pattern,,OP.1,,,OP.1,,
Initial DL BWP configuration,,DLBWP.0.1,,,DLBWP.0.1,,
Initial UL BWP configuration,,ULBWP.0.1,,,ULBWP.0.1,,
RLM-RS,,SSB,,,SSB,,
Qrxlevmin,dBm/SCS,-130,,,-130,,
Pcompensation,dB,0,,,0,,
Qhysts,dB,0,,,0,,
"Qoffsets, n",dB,0,,,0,,
Cell_selection_and_reselection_quality_measurement,,SS-RSRP,,,SS-RSRP,,
,dB,14,14,14,-4,-infinity,12
Note2,dBm/SCS,-98,,,,,
Note2,dBm/15 kHz,-98,,,,,
,dB,14,14,14,-4,-infinity,12
SS-RSRP Note3,dBm/SCS,-84,-84,-84,-102,-infinity,-86
Io,dBm/9.36 MHz,-55.88,-55.88,-55.88,-68.60,-70.05,-57.78
Treselection,s,0,0,0,0,0,0
SnonIntrasearchP,dB,50,,,50,,
"Threshx, highP",dB,48,,,48,,
"Threshserving, lowP",dB,44,,,44,,
"Threshx, lowP",dB,50,,,50,,
Propagation Condition,,AWGN,,,,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,
