Parameter,,Unit,Value,Comment
RF Channel Number,,,1,One NR NTN satellite RF channel
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
"UE position (L,B, H)",,,"(0, 0, 0)","Set by any pre-configured means(L,B,H) is Geodetic coordinate, where L is latitude, B is longitude, and H is height."
A3-Offset,,dB,0,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Time offset between cells,,,3 s,Synchronous cells
T1,,s,5,
T2,,s,5,
T3,,s,1,
"NOTE 1:For Config 3, the UE position is set by AT command according to G.4.2 of TS 38.101-5 [43] at the beginning if the test, and remains unchanged during the test.",,,,
