Parameter,,Unit,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
AoA setup,,,Setup X1 for sub-test 1Setup X2 for sub-test 1,,,
Satellite information,"Config 1,3",,SSC.1,,NSC.1,
,"Config 2,4",,SSC.2,,NSC.2,
NR RF Channel Number,,,1,,1,
Duplex mode,,,FDD,,,
BWchannel,,MHz,"100: NPRB,c = 66 (Config 1,2)10 NPRB,c = 24 (Config 3,4)",,,
BWP BW,,MHz,"100: NPRB,c = 66 (Config 1,2)10 NPRB,c = 24 (Config 3,4)",,,
TACommon,,s,0,,,
TACommonDrift,,s,0,,,
TACommonDriftVariation,,s,0,,,
Koffset,"Config 1,3",ms,239,,,
,"Config 2,4",ms,4,,,
Kmac,,ms,0,,,
Data PRBs allocated,,,66,,,
DRX Cycle,,ms,Not Applicable,,,
PDSCH Reference measurement channel,,,"SR3.1 FDD (Config 1,2)SR.2.1 TDD (Config 3,4)",,,
RMSI CORESET Reference Channel,,,"CR3.1 FDD (Config 1,2)CR.2.1 TDD (Config 3,4)",,,
Control Channel RMC,,,CCR.3.1 FDDCCR.2.1 TDD,,,
OCNG Patterns,,,OP.1,,,
SMTC Configuration,,,SMTC.1,,,
SSB Configuration,,,"SSB.3 FR2 (Config 1,2)SSB.1 FR1 (Config 3,4)",,,
PDSCH/PDCCH subcarrier spacing,,kHz,"120 kHz (Config 1,2)30 kHz (Config 3,4)",,,
PUCCH/PUSCH subcarrier spacing,,kHz,"120 kHz (Config 1,2)30 kHz (Config 3,4)",,,
PRACH configuration,,,"FR2 PRACH configuration 1 (Config 1,2)FR1 PRACH Configuration 1 (Config 3,4)",,,
TRS configuration,,,"TRS.2.1 TDD (Config 1,2)TRS 1.2 TDD (Config 3,4)",,,
PDSCH/PDCCH TCI state,,,"TCI.State.2 (Config 1,2)",,,
BWP configuraiton,Initial DL BWP,,DLBWP.0.1,,,
,Dedicated DL BWP,,DLBWP.1.1,,,
,Initial UL BWP,,ULBWP.0.1,,,
,Dedicated UL BWP,,ULBWP.1.1,,,
EPRE ratio of PSS to SSS,,dB,0,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,
Note2,,dBm/15 kHz,-104.7,,,
Note2,,dBm/SCS,-95.7,,,
,,dB,6,-1.8,-Infinity,0
,,dB,6,6,-Infinity,7
IoNote3,,dBm/BW,-59.7,-56.7,-59.7,-56.7
Propagation condition,,-,AWGN,,AWGN,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 5:As observed with 0 dBi gain antenna at the centre of the quiet zone,,,,,,
