Parameter,Unit,Config,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
BWchannel,MHz,"1, 2","100: NPRB,c = 66",,"100: NPRB,c = 66",
,,"3, 4","10: NPRB,c = 24",,"10: NPRB,c = 24",
Data PRBs allocated,,"1, 3, 4",24,,24,
,,2,48,,48,
Intial BWP configuration,,"1, 2, 3, 4",DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Active DL BWP configuration,,"1, 2, 3, 4",DLBWP.1.1,,DLBWP.1.1,
Active UL BWP configuration,,"1, 2, 3, 4",ULBWP.1.1,,ULBWP.1.1,
RLM-RS,,"1, 2, 3, 4",SSB,,SSB,
PDSCH RMC configuration,,"1, 2",TBD,,N/A,
,,"3, 4",SR.2.1 TDD,,,
RMSI CORESET RMC configuration,,"1, 2",TBD,,N/A,
,,"3, 4",CCR.2.1TDD,,N/A,
Dedicated CORESET RMC configuration,,"1, 2",TBD,,N/A,
,,"3, 4",CCR.2.1TDD,,N/A,
TRS configuration,,"1, 2",TBD,,N/A,
,,"3,4",TRS.1.2 TDD,,,
PDSCH/PDCCH TCI states,,"1, 2",TCI.State.2,,N/A,
PDSCH/PDCCH subcarrier spacing,kHz,"1, 2",120,,120,
,,"3, 4",30,,30,
OCNG Patterns,,"1, 2, 3, 4",OP.5,,N/A,
cellIndividualOffset,dB,"1~2, 3, 4",N/A,,16,
SSB,,1,SSB.1 FR2,,SSB.7 FR2,
,,2,SSB.2 FR2,,SSB.8 FR2,
,,"3, 4",SSB.1 FR1,,SSB.5,
Propagation Condition,,"1, 2",No external noise (Note 1),,No external noise (Note 1),
"NOTE 1:The downlink connection between the System Simulator and the UE is without Additive White Gaussian Noise, and has no fading or multipath effects as specified in TS 38.521-2 B.0 [40].",,,,,,
