Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2",Cell 1,
Neighbour cell,,"1, 2",Cell 2,Cell to be identified.
RF Channel Number,,"1, 2",1: Cell 1 and Cell 2,
Measurement gap type,,"1, 2",Per-UE gaps,
Gap Pattern ID,,"1, 2",0,As specified in clause 9.1.2-1.
Measurement gap repetition periodicity,ms,"1, 2",40,
Measurement gap length,ms,"1, 2",6,
Measurement gap offset,ms,"1, 2",39,
A3-Offset,dB,"1, 2",-4.5,
CP length,,"1, 2",Normal,
Hysteresis,dB,"1, 2",0,
Time To Trigger,s,"1, 2",0,
Filter coefficient,,"1, 2",0,L3 filtering is not used
DRX,ms,"1, 2",,OFF
Time offset between serving and neighbour cells,,"1,2",3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
T1,s,"1, 2",5,
T2,s,"1, 2",5,
