Parameter,Config,Unit,Value
SSB GSCN,"1, 2",,freq1
Duplex mode,"1, 2",,FDD
TDD Configuration,"1, 2",,N/A
BWchannel,"1, 2",MHz,"10: NRB,c = 52"
Satellite information,1,,SSC.1
,2,,SSC.2
PDSCH Reference measurement channel,"1, 2",,SR.1.1 FDD
RMSI CORESET Reference Channel,"1, 2",,CR.1.1 FDD
Dedicated CORESET Reference Channel,"1, 2",,CCR.1.1 FDD
SSB configuration,"1, 2",,SSB.3 FR1
CSI-RS configuration,"1, 2",,CSI-RS 1.3 FDD
OCNG Patterns,"1, 2",,OP.1
TRS Configuration,"1, 2",,TRS.1.1 FDD
Initial BWP Configuration,"1, 2",,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,"1, 2",,DLBWP.1.1ULBWP.1.1
SMTC configuration,"1, 2",,SMTC.1
DRX configuration,"1, 2",,Off
reportConfigType,"1, 2",,aperiodic
reportQuantity,"1, 2",,cri-RSRP
Number of reported RS,"1, 2",,2
qcl-Info,"1, 2",,SSB#0 for resource#0
,,,SSB#1 for resource#1
reportSlotOffsetList,"1, 2",slots,8
T1,"1, 2",s,5
EPRE ratio of PSS to SSS,"1, 2",dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
Propagation condition,"1, 2",,AWGN
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
