Parameter,Unit,Config,Test1,Test2
SSB ARFCN,,"1,3",1,1
Serving satellite configuration,,1,SSC.1,
,,3,SSC.2,
BWchannel,MHz,"1,3","10: NPRB,c = 52",
Initial BWP Configuration,,"1,3",DLBWP.0.1ULBWP.0.1,
Dedicated BWP Configuration,,"1,3",DLBWP.1.1ULBWP.1.1,
DRX Cycle,ms,"1,3",N/A,DRX.8Note5
PDSCH Reference measurement channel,,"1,3",SR.1.1 FDD,
RMSI CORESET Reference Channel,,"1,3",CR.1.1 FDD,
Dedicated CORESET Reference Channel,,"1,3",CCR.1.1 FDD,
OCNG Patterns,,"1,3",OP.1,
SSB configuration,,"1,3",SSB.1 FR1,
SMTC Configuration,,"1,3",SMTC.1,
TRS configuration,,"1,3",TRS.1.1 FDD,
EPRE ratio of PSS to SSS,dB,"1,3",0,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,
Note2,dBm/15 kHz,"1,3",-98,-98
Note2,dBm/SCS,"1,3",-98,-98
,,"1,3",3,3
,,"1,3",3,3
SS-RSRPNote3,dBm/SCS,"1,3",-95,-95
IoNote3,dBm/9.36 MHz,"1,3",-65.2,-65.2
Propagation condition,,1,AWGN,
,,3,AWGN with time varying Doppler and delay shifts,
SRS Config,,"1,3",SRSConf.1Note6,SRSConf.2Note6
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:DRX related parameters are given in table A.3.3.8-1NOTE 6:SRS configs are given in table A.14.3.1.1.1-3NOTE 7:For Config 3, the initial ephemerisInfo of SSC.2 refers to Table G.4.1-1 of TS 38.101-5 [43].NOTE 8:For Config 3, the UE position is set by AT command according to G.4.2 of TS 38.101-5 [43] at the beginning if the test, and remains unchanged during the test.",,,,
