Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
Satellite information,,"1,2,3",SSC.1,,N/A,
,,"4,5,6",SSC.2,,,
TDD configuration,,"1,4",N/A,,N/A,
,,"2,5",,,TDDConf.1.1,
,,"3,6",,,TDDConf.2.1,
PDSCH RMC,,"1,4",SR.1.1 FDD,,SR.1.1 FDD,
configuration,,"2,5",,,SR.1.1 TDD,
,,"3,6",,,SR.2.1 TDD,
RMSI CORESET,,"1,4",CR.1.1 FDD,,CR.1.1 FDD,
RMC configuration,,"2,5",,,CR.1.1 TDD,
,,"3,6",,,CR.2.1 TDD,
Dedicated CORESET,,"1,4",CCR.1.1 FDD,,CCR.1.1 FDD,
RMC configuration,,"2,5",,,CCR.1.1 TDD,
,,"3,6",,,CCR.2.1 TDD,
OCNG Pattern,,1-6,OP.1 defined in clause A.3.2.1,,OP.1 defined in clause A.3.2.1,
Initial DL BWP configuration,,1-6,DLBWP.0.1,,DLBWP.0.1,
Initial UL BWP configuration,,1-6,ULBWP.0.1,,ULBWP.0.1,
RLM-RS,,1-6,SSB,,SSB,
Qrxlevmin,dBm/SCS,"1,2,4,5",-140,,-140,
,,"3,6",,,-137,
Pcompensation,dB,1-6,0,,0,
Cell_selection_and_reselection_quality_measurement,,1-6,SS-RSRP,,SS-RSRP,
,dB,1-6,14,14,-infinity,12
Note2,dBm/SCS,"1,2,4,5",-98,,-98,
,,"3,6",,,-95,
Note2,dBm/15 kHz,1-6,-98,,,
,dB,1-6,14,14,-infinity,12
SS-RSRP Note3,dBm/SCS,"1,2,4,5",-84,-84,-infinity,-86
,,"3,6",,,-infinity,-83
Io,dBm/Ch BW,"1,2,4,5",-55.88,-55.88,-70.05,-57.78
,,"3,6",,,-63.96,-51.69
Treselection,s,1-6,0,0,0,0
SnonintrasearchP,dB,1-6,50,,50,
"Threshx, highP",dB,1-6,48,,48,
"Threshserving, lowP",dB,1-6,44,,44,
"Threshx, lowP",dB,1-6,50,,50,
Propagation Condition,,1-6,AWGN,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,
