Parameter,Config,Unit,Value
SSB ARFCN,"1, 2",,freq1
Duplex mode,"1, 2",,FDD
,,,
,,,
TDD Configuration,"1, 2",,N/A
,,,
,,,
BWchannel,"1, 2",MHz,"10: NPRB,c = 52"
,,,
,,,
Satellite information,1,,SSC.1
,2,,SSC.2
PDSCH Reference measurement channel,"1, 2",,SR.1.1 FDD
,,,
,,,
RMSI CORESET Reference Channel,"1, 2",,CR.1.1 FDD
,,,
,,,
Dedicated CORESET Reference Channel,"1, 2",,CCR.1.1 FDD
,,,
,,,
SSB configuration,"1, 2",,SSB.3 FR1
,,,
,,,
OCNG Patterns,"1, 2",,OP.1
Initial BWP Configuration,"1, 2",,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,"1, 2",,DLBWP.1.1ULBWP.1.1
SMTC configuration,"1, 2",,SMTC.1
TRS Configuration,"1, 2",,TRS.1.1 FDD
,,,
,,,
DRX configuration,"1, 2",,DRX.3
reportConfigType,"1, 2",,periodic
reportQuantity,"1, 2",,ssb-Index-RSRP
Number of reported RS,"1, 2",,2
L1-RSRP reporting period,"1, 2",slot,80
T1,"1, 2",s,5
T2,"1, 2",s,1
EPRE ratio of PSS to SSS,"1, 2",dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
Propagation condition,"1, 2",,AWGN
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
