Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2, 3, 4",Cell 1,
Neighbour cell,,"1, 2, 3, 4",Cell 2,Cell to be identified.
RF Channel Number,,"1, 2, 3, 4",1: Cell 1 and Cell 2,
SMTC configuration,,"1, 2, 3, 4",SMTC.2,
A3-Offset,dB,"1, 2, 3, 4",-11,
CP length,,"1, 2, 3, 4",Normal,
Hysteresis,dB,"1, 2, 3, 4",0,
Time To Trigger,s,"1, 2, 3, 4",0,
Filter coefficient,,"1, 2, 3, 4",0,L3 filtering is not used
DRX,ms,"1, 2, 3, 4",,OFF
Time offset between serving and neighbour cells,,"1, 2, 3, 4",3 s,Synchronous cells
T1,s,"1, 2, 3, 4",5,
T2,s,"1, 2, 3, 4",5,
