Parameter,Unit,Config,Test1,Test2,
SSB ARFCN,,"1,2,3",Freq1,Freq1,
Serving satellite configuration,,"1,3,5",SSC.1.,,
,,"2,4",SSC.2,,
,,,,,
BWchannel,MHz,"1,2,3","100: NPRB,c = 66",,
,,"4,5","10: NPRB,c = 24",,
Initial BWP Configuration,,"1,2,3,4,5",DLBWP.0.1ULBWP.0.1,,
Dedicated BWP Configuration,,"1,2,3,4,5",DLBWP.1.1ULBWP.1.1,,
DRX Cycle,ms,"1,2,3",N/A,DRX.8Note5,
PDSCH Reference measurement channel,,"1,2,3",SR.3.1 TDD,,
,,"4,5",SR.2.1 TDD,,
RMSI CORESET Reference Channel,,"1,2,3",CR.3.1 TDD,,
,,"4,5",CR.2.1 TDD,,
Dedicated CORESET Reference Channel,,"1,2,3",CCR.2.1 TDD,,
,,"4,5",CCR.2.1 TDD,,
OCNG Patterns,,"1,2,3",OP.1,,
SSB configuration,,"1,2,3",SSB.1 FR2,,
,,"4,5",SSB.1 FR1,,
SMTC Configuration,,"1,2,3,4,5",SMTC.1,,
TRS configuration,,"1,2,3",TRS.2.1 FDD,,
,,,TRS.1.2 TDD,,
EPRE ratio of PSS to SSS,dB,"1,2,3,4,5",0,0,
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,
Propagation condition,,"1,2,3,4,5",AWGN,,
SRS Config,,"1,2,3",SRSConf.1Note6,SRSConf.2Note6,
,,"4,5",SRS.1,SRS.1,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3:VoidNOTE 4:VoidNOTE 5:DRX related parameters are given in table A.3.3.8-1NOTE 6:SRS configs are given in table A.14.3.1.2.1-3,,,,,
