Parameter,Config,Unit,Value
SSB ARFCN,1~2,,freq1
Duplex mode,1~2,,FDD
FDD Configuration,1~2,,TBD
BWchannel,1~2,MHz,"100: NPRB,c = 66"
Data PRBs allocated,1~4,,66
PDSCH Reference measurement channel,"1,2",,TBD
,"3,4",,SR.2.1 TDD
RMSI CORESET Reference Channel,"1,2",,TBD
,"3,4",,CC.2.1 TDD
Dedicated CORESET Reference Channel,"1,2",,TBD
,"3,4",,CCR.2.1 TDD
SSB configuration,"1,2",,SSB.1 FR2
,"3,4",,SSB.1  FR1
OCNG Patterns,"1,2,3,4",,OP.1
Initial BWP Configuration,"1,2,3,4",,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,"1,2,3,4",,DLBWP.1.3ULBWP.1.3
SMTC configuration,1~2,,SMTC.1
TRS Configuration,1~2,,TBD
,"3,4",,TRS.1.2
PDCCH/PDSCH TCI Configuration,1~2,,TCI.State.2
DRX configuration,1~2,,Off
reportConfigType,"1,2,3,4",,periodic
reportQuantity,"1,2,3,4",,ssb-Index-RSRP
Number of reported RS,"1,2,3,4",,2
L1-RSRP reporting period,"1,2,3,4",slot,320
T1,"1,2,3,4",s,5
T2,"1,2,3,4",s,2
EPRE ratio of PSS to SSS,"1,2,3,4",dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
Propagation condition,"1,2,3,4",,AWGN
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
