,,,,,,,,
,0,1,2,3,4,5,6,7
0,16,32,56,88,120,152,208,256
1,24,56,88,144,176,208,256,344
2,32,72,144,176,208,256,328,424
3,40,104,176,208,256,328,440,568
4,56,120,208,256,328,408,552,680
5,72,144,224,328,424,504,680,872
6,88,176,256,392,504,600,808,1032
7,104,224,328,472,584,680,968,1224
8,120,256,392,536,680,808,1096,1352
9,136,296,456,616,776,936,1256,1544
10,144,328,504,680,872,1032,1384,1736
11,176,376,584,776,1000,1192,1608,2024
12,208,440,680,904,1128,1352,1800,2280
13,224,488,744,1032,1256,1544,2024,2536
14,256,552,840,1128,1416,1736,2280,2856
15,280,600,904,1224,1544,1800,2472,3112
16,296,632,968,1288,1608,1928,2600,3240
17,336,696,1064,1416,1800,2152,2856,3624
18,376,776,1160,1544,1992,2344,3112,4008
19,408,840,1288,1736,2152,2600,3496,4264
20,440,904,1384,1864,2344,2792,3752,4584
21,488,1000,1480,1992,2472,2984,4008,4968
