,,,,,,,,,NCCE indices of monitored NPDCCH candidates,
,,,,,,,,,L'=1,L'=2
1,1,-,-,-,-,-,-,-,-,"{0,1}"
2,1,2,-,-,-,-,-,-,-,"{0,1}"
4,1,2,4,-,-,-,-,-,-,"{0,1}"
8,1,2,4,8,-,-,-,-,-,"{0,1}"
16,1,2,4,8,16,-,-,-,--,"{0,1}"
32,1,2,4,8,16,32,-,-,-,"{0,1}"
64,1,2,4,8,16,32,64,-,-,"{0,1}"
128,1,2,4,8,16,32,64,128,-,"{0,1}"
256,1,4,8,16,32,64,128,256,-,"{0,1}"
512,1,4,16,32,64,128,256,512,-,"{0,1}"
1024,1,8,32,64,128,256,512,1024,-,"{0,1}"
2048,1,8,64,128,256,512,1024,2048,-,"{0,1}"
DCI subframe repetition number,000,001,010,011,100,101,110,111,,
"Note 1:{x,y} denotes NPDCCH Format1 candidate corresponding to NCCEs 'x' and 'y' is monitored.",,,,,,,,,,
