Parameter,,Unit,Single antenna port,Transmit diversity
Uplink downlink configuration (Note 1),,,1,1
Special subframe configuration (Note 2),,,4,4
Downlink power allocation,,dB,0,-3
,,dB,0,-3
,,dB,0,0
PHICH duration,,,Normal,Normal
PHICH Ng (Note 1),,,Ng = 1,Ng = 1
PDCCH Content,,,UL Grant should be included with the proper information aligned with A.3.6.DL Grant: Note 4,
Unused RE-s and PRB-s (Note 4),,,OCNG,OCNG
Cell ID,,,0,0
at antenna port,,dBm/15kHz,-98,-98
Cyclic prefix,,,Normal,Normal
ACK/NACK feedback mode,,,Multiplexing,Multiplexing
"Note 1:as specified in Table 4.2-2 in TS 36.211 [4].Note 2:as specified in Table 4.2-1 in TS 36.211 [4].Note 3:according to Clause 6.9 in TS 36.211 [4].Note 4:Reference measurement channel R.15 TDD for Single Tx Antenna 8.10.3.2.1, R15-2 TDD for Transmit Diversity with 2Tx Antenna Port 8.10.3.2.2, R17 TDD for Transmit diversity with 4Tx Antenna Port 8.10.3.2.3, according to Table A.3.5.2-1 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1 for the serving cell",,,,
