Parameter,,Unit,Test 1
Resource pool configuration,,,As specified in Table A.7.1.1-4(Configuration #4-FDD)
DRX configuration,,,As specified in Table 11.1.2-1
at antenna port,,dBm/15kHz,-98
Active cell(s),,,None
Active Sidelink UE(s),,,"Sidelink UEs 1, 2"
Sidelink UE 1,Sidelink Transmissions,,SLSS + PSBCH
,networkControlledSyncTx,,ON
,slssid,,30
,inCoverage (in MIB-SL),,TRUE
,syncOffsetIndicator,,Set same as syncOffsetIndicator1 in Configuration #4-FDD
,Propagation channel,,EPA5
,Antenna configuration,,1x2 Low
,at antenna port,dBm/15kHz,-82
Sidelink UE 2,Sidelink Transmissions,,PSDCH
,PSDCH RB allocation,,"PRB pairs {2i..2i+1}, where i is chosen randomly uniformly from [0,11] (for 5MHz) or [0,24] (for 10MHz) in each discovery period."
,Time offset (Note 1),s,+1
,Frequency offset (Note 2),Hz,+200
,Propagation Channel,,EPA5
,Antenna configuration,,1x2 Low
NOTE 1:Time offset of Sidelink UE 2 receive signal timing with respect to Sidelink UE 1 receive signal timing at the tested UE.NOTE 2:Frequency offset of Sidelink UE 2 with respect to Sidelink UE 1 transmit frequency.,,,
