Parameter,,Unit,Cell 1,Cell 2,Cell 3
Bandwidth,,MHz,10,,
Transmission mode,,,4,,
Uplink downlink configuration,,,2,,
Special subframe configuration,,,4,,
Downlink power allocation,,dB,-3,,
,,dB,-3,,
,,dB,0,,
Cyclic Prefix,,,Normal,Normal,Normal
Cell ID,,,0,1,6
SNR,,dB,8.34,N/A,N/A
,,,N/A,3.28,0.74
,,dB[mW/15kHz],-89.66,-94.72,-97.26
,,dB[mW/15kHz],-98,,
Propagation channel,,,EPA5,EPA5,EPA5
Correlation and antenna configuration,,,Low 2 x 2,Low 2 x 2,Low 2 x 2
Cell-specific reference signals,,,"Antenna ports 0,1","Antenna ports 0,1","Antenna ports 0,1"
Interference model,,,N/A,As specified in clause B.6.3,As specified in clause B.6.3
Reporting periodicity,,ms,Npd = 5,N/A,N/A
Physical channel for CQI/PMI reporting,,,PUSCH(Note 3),N/A,N/A
PUCCH Report Type,,,2,N/A,N/A
cqi-pmi-ConfigurationIndex,,,3,N/A,N/A
ri-ConfigIndex,,,805 (Note 5),N/A,N/A
CodeBookSubsetRestriction bitmap,,,000001,N/A,N/A
Max number of HARQ transmissions,,,1,N/A,N/A
ACK/NACK feedback mode,,,Multiplexing,N/A,N/A
NeighCellsInfo-r12 (Note 6),p-aList-r12,,N/A,"{dB-6, dB-3, dB0}","{dB-6, dB-3, dB0}"
,transmissionModeList-r12,,N/A,"{2,3,4,8,9}","{2,3,4,8,9}"
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink SF not later than SF#(n-4), this reported wideband CQI cannot be applied at the eNB downlink before SF#(n+4)Note 2:Reference measurement channel RC.2 TDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1.Note 3:To avoid collisions between CQI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#3 and #8 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#7 and #2.Note 4: All cells are time-synchronous.Note 5:RI reporting interval is set to the maximum allowable length of 160ms to minimise collisions between RI, CQI/PMI and HARQ-ACK reports. In the case when all three reports collide, it is expected that CQI/PMI reports will be dropped, while RI and HARQ-ACK will be multiplexed. At eNB, CQI report collection shall be skipped every 160ms during performance verification.Note 6: NeighCellsInfo-r12 is described in subclause 6.3.2 of [7].",,,,,
