Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,10,,,
PDSCH transmission mode,,,1,,,
Downlink power allocation,,dB,0,,,
,,dB,0,,,
,,dB,0,,,
Propagation condition and antenna configuration,,,AWGN (1 x 2),,,
SNR (Note 2),,dB,-1,0,20,21
,,dB[mW/15kHz],-99,-98,-78,-77
,,dB[mW/15kHz],-98,,-98,
Max number of HARQ transmissions,,,1,,,
Physical channel for CQI reporting,,,PUCCH Format 2,,,
PUCCH Report Type,,,4,,,
Reporting periodicity,,ms,Npd = 5,,,
cqi-pmi-ConfigurationIndex,,,6,,,
"Note 1:Reference measurement channel RC.1A FDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 FDD as described in Annex A.5.1.1.Note 2:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.",,,,,,
