Parameter,,Unit,Test 1,
Bandwidth,,MHz,10 MHz,
Transmission mode,,,1 (port 0),
Downlink power allocation,,dB,0,
,,dB,0,
,,dB,0,
,δ,dB,0,
SNR (Note 3),,dB,5,6
,,dB[mW/15kHz],-93,-92
,,dB[mW/15kHz],-98,-98
Propagation channel,,,"Clause B.2.4 with s, a = 1, Hz",
Reporting interval,,ms,10,
CQI delays for each narrwoband,,ms,"11, 12, 13, 14",
Reporting mode,,,PUSCH 2-0,
Max number of HARQ transmissions,,,1,
Number of preferred subbands (M),,,1,
Number of narrowbands,,,4,
Frequency hopping,,,Enabled,
Frequency hopping offset,,,1,
Starting OFDM symbol (startSymbolBR),,,3,
Maximum number of MPDCCH repetitions (mpdcch-NumRepetition),,,4,
MPDCCH repetition level (Note 6),,,1,
PDSCH repetition level,,,1,
MPDCCH narrowband (mpdcch-Narrowband),,,7 (Note 5),
MPDCCH hopping interval (interval-FDD),,,1,
Start subframe configuration for MPDCCH (mpdcch-startSF-UESS),,,2.5,
Beamforming Precoder for MPDCCH,,,No preconding,
Precoder update granularity for MPDCCH,,,N/A,
BL/CE DL subframe comfiguration (fdd-DownlinkOrTddSubframeBitmapBR),,,1111111111,
RCSI (csi-NumRepetitionCE),,Subframe,1,
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink subframe not later than SF#(n-4), this reported narrowband or wideband CQI cannot be applied at the eNB downlink before SF#(n+4)Note 2:Reference measurement channel RC.25 FDD according to Table A.4-1 with one sided and dynamic OCNG Pattern OP.1/2 FDD as described in Annex A.5.1.1/2.Note 3:The minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input levelNote 4:DC subcarrier puncturing shall be consideredNote 5:For RRC parameter setting, mpdcch-narroband is set to 8.Note 6:DCI format 6-1A is scheduled in the subframe k2 according to TS36.213 subclause 9.1.5.",,,,
