Parameter,,,Unit,Test 1,,Test 2,
,,,,TP 1,TP 2,TP 1,TP 2
PHICH duration,,,,Normal,,,
Downlink power allocation,,,dB,0,,,
,,,dB,0,,,
,,,dB,-3,,,
,,,dB,0,,,
,,,dB,"0dB power imbalance is considered between TP 1 and TP 2,",Reference value in Table 8.8.3.1-2,Reference value in Table 8.8.3.1-2,Reference value in Table 8.8.3.1-2
at antenna port,,,dBm/15kHz,-98,,,
Bandwidth,,,MHz,10,10,10,10
Number of configured EPDCCH Sets,,,,2 (Note 1),,2 (Note1),
EPDCCH-PRB-Set ID (setConfigId),,,,0,1,0,1
Transmission type of EPDCCH-PRB-set,,,,Localized,Localized,Localized,Localized
Number of PRB pair per EPDCCH-PRB-set,,,PRB,8,8,8,8
EPDCCH beamforming model,,,,Annex B.4.5,Annex B.4.5,Annex B.4.5,Annex B.4.5
PDSCH transmission mode,,,,TM10,TM10,TM10,TM10
PDSCH transmission scheduling,,,,Blanked in all the subframes,Transmit in all the subframes,Probability of occurrence of PDSCH transmission is 30% (Note 3),Probability of occurrence of PDSCH transmission is 70% (Note 3)
Non-zero power CSI reference signal (NZPId=1),CSI reference signal configuration,,,N/A,0,N/A,0
,CSI reference signal subframe configuration ICSI-RS,,,N/A,2,N/A,2
Non-zero power CSI reference signal (NZPId=2),CSI reference signal configuration,,,N/A,N/A,10,N/A
,CSI reference signal subframe configuration ICSI-RS,,,N/A,N/A,2,N/A
Zero power CSI reference signal(ZPId=1),CSI-RS Configuration list (ZeroPowerCSI-RS bitmap),,Bitmap,N/A,0000010000000000,N/A,1000010000000000
,CSI-RS subframe configuration ICSI-RS,,,N/A,2,N/A,2
Zero power CSI reference signal(ZPId=2),CSI-RS Configuration list (ZeroPowerCSI-RS bitmap),,Bitmap,N/A,N/A,1000010000000000,N/A
,CSI-RS subframe configuration ICSI-RS,,,N/A,N/A,2,N/A
PQI set 0(Note 4),Non-Zero power CSI RS Identity (NZPId),,,N/A,1,N/A,1
,Zero power CSI RS Identity (ZPId),,,N/A,1,N/A,1
PQI set 1(Note 4),Non-Zero power CSI RS Identity (NZPId),,,N/A,N/A,2,N/A
,Zero power CSI RS Identity (ZPId),,,N/A,N/A,2,N/A
Number of PDCCH symbols,,,Symbols,1 (Note 2),,,
EPDCCH starting position,,,,pdsch-Start-r11=2 (Note 2),pdsch-Start-r11=2 (Note 2),pdsch-Start-r11=2 (Note 2),pdsch-Start-r11=2 (Note 2)
Subframe configuration,,,,Non-MBSFN,Non-MBSFN,Non-MBSFN,Non-MBSFN
Time offset between TPs,,,s,N/A,2,N/A,2
Frequency shift between TPs,,,Hz,N/A,200,N/A,200
Cell ID,,,,0,126,0,126
"Note 1: Resource blocks nPRB =0, 7, 14, 21, 28, 35, 42, 49 are allocated for both the first set and the second set.Note 2:The starting OFDM symbol for EPDCCH is determined from the higher layer signalling pdsch-Start-r11. And CFI is set to 1.Note 3:The TP from which PDSCH is transmitted shall be randomly determined independently for each subframe. Probabilities of occurrence of PDSCH transmission from TP 1 and TP 2 are specified.Note 4:For PQI set 0, PDSCH and EPDCCH are transmitted from TP 2. For PQI set 1, PDSCH and EPDCCH are transmitted from TP1. EPDCCH and PDSCH are transmitted from same TP.",,,,,,,
