Parameter,,,Unit,,Test 1,,Test 1A,,Test 2,
Downlink power allocation,,,dB,,-3,,-3,,-3,
,,,dB,,-3 (Note 1),,-3 (Note 1),,-3 (Note 1),
,,,dB,,0,,0,,0,
at antenna port,,,dBm/15kHz,,-98,,-98,,-98,
Precoding granularity,,,PRB,,6,,4,,50,
PMI delay (Note 2),,,ms,,8,,8,,8,
Reporting interval,,,ms,,1,,1,,1,
Reporting mode,,,,,PUSCH 1-2,,PUSCH 1-2,,PUSCH 3-1,
CodeBookSubsetRestriction bitmap,,,,,001111,,001111,,001111,
PDSCH transmission mode,,,,,4,,4,,4,
"Note 1:.Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).",,,,,,,,,,
