parameter,,Unit,Test 1,Test 2
Downlink power allocation,,dB,0,0
,,dB,0 (Note 1),0 (Note 1)
,,dB,-3,-3
Cell-specific reference signals,,,Antenna ports 0 and 1,Antenna ports 0 and 1
CSI reference signals,,,"Antenna ports 15,16","Antenna ports 15,16,17,18"
Beamforming model,,,B.4.3 (Note 3),B.4.3 (Note 3)
CSI-RS periodicity and subframe offset          TCSI-RS / ∆CSI-RS,,Subframes,5 / 4,5 / 4
CSI reference signal configuration,,,0,0
Zero-power CSI-RS configurationICSI-RS /       ZeroPowerCSI-RS bitmap,,Subframes / bitmap,4/0010000000000000,4/0010000000000000
at antenna port,,dBm/15kHz,-98,-98
Symbols for unused PRBs,,,OCNG (Note 2),OCNG (Note 2)
Number of allocated resource blocks (Note 2),,PRB,50,50
Simultaneous transmission,,,No,No
PDSCH transmission mode,,,9,9
Rank Number of PDSCH,,,1,2
semiOpenLoop,,,True,True
"Note 1:Note 2:These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated pseudo random data, which is QPSK modulated.Note 3:For 2 antenna ports {15, 16}, the precoding matrix corresponding to codebook index 0 from Table 6.3.4.2.3-1 in [4] with ;For 4 antenna ports, the precoding matrix random seleted from Table 6.3.4.2.3-2 in [4] with",,,,
