parameter,,Unit,Test 1,Test 2,Test 3
Downlink power allocation,,dB,0,,
,,dB,0 (Note 1),,
,,dB,-3,,
Beamforming model,,,Annex B.4.1,,
Cell-specific reference signals,,,"Antenna ports 0,1",,
CSI reference signals,,,"Antenna ports 15,…,18",,
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,Subframes,5 / 2,,
CSI reference signal configuration,,,3,,
Zero-power CSI-RS configurationICSI-RS /ZeroPowerCSI-RS bitmap,,Subframes / bitmap,3 /0001000000000000,,
at antenna port,,dBm/15kHz,-98,,
Symbols for unused PRBs,,,OCNG (Note 2),,
Number of allocated resource blocks,,PRB,50,,
Simultaneous transmission,,,Yes,,
PDSCH transmission mode,,,9,,
Number of MBSFN subframes,,Subframes,NA,,
dmrs-Enhancements-r13,,,Disabled,Enable,Enable
k-max-r14 (Note 5),,,1,1,3
"Note 1:.Note 2:These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated pseudo random data, which is QPSK modulated.Note 3:In Test 1, the modulation symbols of the signal under test are mapped randomly onto antenna port 7 or 8. Modulation symbols of an interference signal are mapped randomly onto one of the remaining  DMRS antenna port. The two UEs’ scrambling identities  are set to 0 with OCC =2.Note 4:In Test 2 and Test 3, the modulation symbols of the signal under test are mapped randomly onto antenna port 7, 8, 11 or 13. Modulation symbols of an interference signal are mapped randomly onto one of the remaining  DMRS antenna port. The two UEs’ scrambling identities  are set to 0 with OCC =4.Note 5:k-max-r14 is decribed in subclause 6.3.2 of [7].Note 6:The upadate granularity for randomized mapping antenna port is 50 PRGs in frequency domain and 1ms in time domain.",,,,,
