Parameter,,Unit,Test 1,
Bandwidth,,MHz,10,
PDSCH transmission mode,,,1,
Downlink power allocation,,dB,0,
,,dB,0,
,,dB,0,
,δ,dB,0,
Propagation condition and antenna configuration,,,AWGN (1 x 1),
SNR (Note 2),,dB,11,12
,,dB[mW/15kHz],-87,-86
,,dB[mW/15kHz],-98,-98
Max number of HARQ transmissions,,,1,
Physical channel for CQI reporting,,,PUSCH (Note 4),
PUCCH Report Type,,,4,
Reporting periodicity,,ms,Npd = 10,
CQI delay,,ms,10,
cqi-pmi-ConfigurationIndex,,,12,
Frequency hopping,,,Disabled,
Frequency hopping inverval(interval-FDD),,,N/A,
Starting OFDM symbol (startSymbolBR),,,3,
PDSCH repetition level,,,1,
MPDCCH repetition level,,,1,
Beamforming Precoder for MPDCCH,,,No precoding,
Precoder update granularity for MPDCCH,,,N/A,
BL/CE DL subframe comfiguration (fdd-DownlinkOrTddSubframeBitmapBR),,,1111111111,
Note 1:Reference measurement channel RC.31 FDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 FDD and two sided dynamic OCNG pattern OP.2 FDD as described in Annex A.5.1.1 and A.5.1.2.Note 2:The minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 3:DC subcarrier puncturing shall be considered.Note 4:To avoid collisions between CQI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. MPDCCH DCI format 6-0A shall be transmitted in downlink SF#1 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#5.,,,,
