Parameter,,Unit,CE Mode A,,,CE Mode B,
Uplink downlink configuration (Note 1),,,,1,,1,
Special subframe configuration (Note 2),,,,4,,4,
Cyclic prefix,,,,Normal,,Normal,
Cell ID,,,,0,,0,
Inter-TTI Distance,,,,1,,1,
Number of HARQ processes per component carrier,,,Processes,7,,2,
Maximum number of HARQ transmission,,,,4,,4,
Redundancy version coding sequence rvidx (Note 3),,,,"{0, 2, 3, 1} for QPSK and 16QAM",,"{0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1} for QPSK",
Number of OFDM symbols for PDCCH per component carrier,,,OFDM symbols,"4 for 1.4 MHz bandwidth, 3 for 3 MHz and 5 MHz bandwidths,2 for 10 MHz, 15 MHz and 20 MHz bandwidths",,"4 for 1.4 MHz bandwidth, 3 for 3 MHz and 5 MHz bandwidths,2 for 10 MHz, 15 MHz and 20 MHz bandwidths",
ACK/NACK feedback mode,,,,Multiplexing,,Multiplexing,
Beamforming Precoder for MPDCCH,,,,Annex B.4.4,,Annex B.4.4,
Precoder update granularity for MPDCCH,,,,Frequency domain: 1 PRBTime domain: identical during the hopping period (interval-TDD for CE Mode A),,Frequency domain: 1 PRBTime domain: identical during the hopping period (interval-TDD for CE Mode B),
BL/CE DL subframe comfiguration (fdd-DownlinkOrTddSubframeBitmapBR),,,,1011110111,,1011110111,
Note 1:as specified in Table 4.2-2 in TS 36.211 [4].Note 2:as specified in Table 4.2-1 in TS 36.211 [4].Note 3:rvidx is defined in TS 36.213 [6] Table 7.1.7.1-2.,,,,,,,
