Parameter,,Unit,Test 1
Bandwidth,,MHz,10
Transmission mode,,,6
Uplink downlink configuration,,,1
Special subframe configuration,,,4
Propagation channel,,,EVA5
Correlation and antenna configuration,,,Low 4 x 2
Downlink power allocation,,dB,-6
,,dB,-6
,,dB,3
,,dB[mW/15kHz],-98
PMI delay,,ms,10
Reporting mode,,,PUSCH 2-2
Reporting interval,,ms,1
Measurement channel,,,R.14-2 TDD
OCNG Pattern,,,OP.1/2 TDD
Subband size (k),,RBs,3 (full size)
Number of preferred subbands (M),,,5
Max number of HARQ transmissions,,,4
Redundancy version coding sequence,,,"{0,1,2,3}"
ACK/NACK feedback mode,,,Multiplexing
"Note 1:For random precoder selection, the precoders shall be updated in each available downlink transmission instance.Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).",,,
