Parameter,,Unit,Test 1,
Bandwidth,,MHz,10,
PDSCH transmission mode,,,1,
Downlink power allocation,,dB,0,
,,dB,0,
,,dB,0,
,δ,dB,0,
Propagation condition and antenna configuration,,,AWGN (1 x 1),
SNR (Note 2),,dB,5,6
,,dB[mW/15kHz],-93,-92
,,dB[mW/15kHz],-98,-98
Max number of HARQ transmissions,,,1,
Physical channel for CQI reporting,,,PUSCH (Note 3),
PUCCH Report Type,,,4,
Reporting periodicity,,ms,Npd = 5,
cqi-pmi-ConfigurationIndex,,,3,
Frequency hopping,,,Disabled,
Frequency hopping inverval(interval-TDD),,,N/A,
Starting OFDM symbol (startSymbolLC),,,3,
PDSCH repetition level,,,1,
ACK/NACK feedback mode,,,Multiplexing,
MPDCCH repetition level,,,1,
Beamforming Precoder for MPDCCH,,,No precoding,
Precoder update granularity for MPDCCH,,,N/A,
BL/CE DL subframe comfiguration (fdd-DownlinkOrTddSubframeBitmapBR),,,1011110111,
Note 1:Reference measurement channel RC.32 TDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 TDD and two sided dynamic OCNG pattern OP.2 TDD as described in Annex A.5.2.1 and A.5.2.2.Note 2:The minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 3:To avoid collisions between CQI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. MPDCCH DCI format 6-0A shall be transmitted in downlink SF#3 and #8 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#7 and #2.Note 4:DC subcarrier puncturing shall be considered.,,,,
