Parameter,,Unit,PCell,SCell1,"SCell2, SCell3, SCell4"
PDSCH transmission mode,,,1,,
Uplink downlink configuration,,,2,2 if Scell1 is TDD CellN/A if Scell1 is FDD Cell,
Special subframe configuration,,,4,4 if Scell1 is TDD CellN/A if Scell1 is FDD Cell,
Downlink power allocation,,dB,0,,
,,dB,0,,
Propagation condition and antenna configuration,,,AWGN (1 x 2),,
SNR,,dB,12,6,0
,,dB[mW/15kHz],-86,-92,-98
,,dB[mW/15kHz],-98,-98,-98
Physical channel for CQI reporting,,,PUCCH Format 2,,
PUCCH Report Type,,,4,,
Reporting periodicity,,ms,Npd = 40,,
cqi-pmi-ConfigurationIndex,,,38,43 (shift of 5 ms relative to Pcell),"48 for SCell 2 (shift of 10 ms relative to Pcell), 53 for SCell 3 (shift of 15 ms relative to Pcell), 58 for SCell 4 (shift of 20 ms relative to Pcell)"
Note 1:3 symbols are allocated to PDCCH. No PDSCH for user data is scheduled for the UE with one sided dynamic OCNG Pattern OP.1 FDD and OP.1 TDD as described in Annex A.5.1.1 and A.5.2.1.Note 2:VoidNote 3:Void,,,,,
