Parameter,,Unit,Value
Downlink power allocation,,dB,-6
,,dB,-6 (Note 1)
,,dB,0
at antenna port,,dBm/15kHz,-98
Cell-specific reference signals,,,"Antenna Ports 0,1,2,3"
Precoding granularity,,PRB,"25 for 5MHz CCs, 50 for 10MHz CCs, 75 for 15MHz and 100 for 20MHz CCs"
PMI delay (Note 2),FDD CC,ms,8
,TDD CC,ms,10 or 11
Reporting interval,FDD CC,ms,1
,TDD CC,ms,1 or 4 (Note 3)
Reporting mode,,,PUSCH 3-1
CodeBookSubsetRestriction bitmap,,,0xFFFF000000000000
CSI request field (Note 3),,,‘10’
PDSCH transmission mode,,,4
PDSCH rank,,,4
"Note 1:.Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:Multiple CC-s under test are configured as the 1st set of serving cells by higher layers.Note 4:ACK/NACK bits are transmitted using PUSCH with PUCCH format 1b with channel selectionNote 5:The same PDSCH transmission mode is applied to each component carrier.",,,
