Parameter,,Unit,Test 1,,,,Test 2,,,
,,,TP1,,TP2,,TP1,,TP2,
Bandwidth,,MHz,10 MHz,,,,10 MHz,,,
Transmission mode,,,10,,10,,10,,10,
Downlink power allocation,,dB,0,,,,0,,,
,,dB,0,,,,0,,,
,,dB,-3,,0,,-3,,0,
,,dB,-3,,,,-3,,,
SNR (Note 7),,dB,10,11,7,8,14,15,9,10
,,dB[mW/15kHz],-88,-87,-91,-90,-84,-85,-89,-88
,,dB[mW/15kHz],-98,,,,-98,,,
Propagation channel,,,EPA 5 Low,,"Clause B.2.4.1 with s, a = 1, Hz",,EPA 5 Low,,"Clause B.2.4.1 with s, a = 1, Hz",
Antenna configuration,,,4x2,,2x2,,4x2,,2x2,
Beamforming Model,,,As specified in Section B.4.3,,,,As specified in Section B.4.3,,,
Timing offset between TPs,,us,0,,,,0,,,
Frequency offset between TPs,,Hz,0,,,,0,,,
Cell-specific reference signals,,,"Antenna ports 0,1",,,,"Antenna ports 0,1",,,
CSI-RS signal 0,,,"Antenna ports 15,…,18",,N/A,,"Antenna ports 15,…,18",,N/A,
CSI-RS 0 periodicity and subframe offset TCSI-RS / ∆CSI-RS,,,5/1,,N/A,,5/1,,N/A,
CSI-RS 0 configuration,,,0,,N/A,,0,,N/A,
CSI-RS signal 1,,,N/A,,"Antenna ports 15,16",,N/A,,"Antenna ports 15,16",
CSI-RS 1 periodicity and subframe offset TCSI-RS / ∆CSI-RS,,,N/A,,5/1,,N/A,,5/1,
CSI-RS 1 configuration,,,N/A,,5,,N/A,,5,
Zero-power CSI-RS 0 configurationICSI-RS / ZeroPowerCSI-RS bitmap,,,N/A,,1 / 1110000000000000,,N/A,,1 / 1110000000000000,
Zero-power CSI-RS 1 configurationICSI-RS / ZeroPowerCSI-RS bitmap,,,1 / 0010011000000000,,N/A,,1 / 0010011000000000,,N/A,
CSI-IM 0 periodicity and subframe offset TCSI-RS / ∆CSI-RS,,,5/1,,5/1,,5/1,,5/1,
CSI-IM 0 configuration,,,2,,2,,2,,2,
CSI-IM 1 periodicity and subframe offset TCSI-RS / ∆CSI-RS,,,5/1,,N/A,,5/1,,N/A,
CSI-IM 1 configuration,,,6,,N/A,,6,,N/A,
CSI-IM 2 periodicity and subframe offset TCSI-RS / ∆CSI-RS,,,N/A,,5/1,,N/A,,5/1,
CSI-IM 2 configuration,,,N/A,,1,,N/A,,1,
CSI process 0,CSI-RS,,CSI-RS 0,,,,CSI-RS 0,,,
,CSI-IM,,CSI-IM 0,,,,CSI-IM 0,,,
,Reporting mode,,PUCCH 1-1,,,,PUCCH 1-1,,,
,CodeBookSubsetRestriction bitmap,,0x0000 0000 0000 0001,,,,0x0000 0000 0000 0001,,,
,Reporting periodicity,ms,Npd = 5,,,,Npd = 5,,,
,CQI delay,ms,11,,,,11,,,
,Physical channel for CQI/ PMI reporting,,PUSCH (Note 6),,,,PUSCH (Note 6),,,
,PUCCH Report Type for CQI/PMI,,2,,,,2,,,
,PUCCH channel for RI reporting,,PUCCH Format 2,,,,PUCCH Format 2,,,
,PUCCH report type for RI,,3,,,,3,,,
,cqi-pmi-ConfigurationIndex,,4,,,,4,,,
,ri-ConfigIndex,,2,,,,2,,,
CSI process 1,CSI-RS,,CSI-RS 1,,,,CSI-RS 1,,,
,CSI-IM,,CSI-IM 0,,,,CSI-IM 0,,,
,Reporting mode,,PUSCH 3-1,,,,PUSCH 3-1,,,
,CodeBookSubsetRestriction bitmap,,000001,,,,000001,,,
,Reporting interval (Note 10),ms,5,,,,5,,,
,CQI delay,ms,11,,,,11,,,
,Sub-band size,RB,6 (full size),,,,6 (full size),,,
CSI process 2(For UE configured single process),CSI-RS,,CSI-RS 0,,,,CSI-RS 0,,,
,CSI-IM,,CSI-IM 1,,,,CSI-IM 1,,,
,Reporting mode,,PUSCH 3-1,,,,PUSCH 3-1,,,
,CodeBookSubsetRestriction bitmap,,0x0000 0000 0000 0001,,,,0x0000 0000 0000 0001,,,
,Reporting interval (Note 8),ms,5,,,,5,,,
,CQI delay,ms,8,,,,8,,,
,Sub-band size,RB,6 (full size) (Note 9),,,,6 (full size) (Note 9),,,
CSI process 3,CSI-RS,,CSI-RS 1,,,,CSI-RS 1,,,
,CSI-IM,,CSI-IM 2,,,,CSI-IM 2,,,
,Reporting mode,,PUSCH 3-1,,,,PUSCH 3-1,,,
,CodeBookSubsetRestriction bitmap,,000001,,,,000001,,,
,Reporting interval (Note 10),ms,5,,,,5,,,
,CQI delay,ms,11,,,,11,,,
,Sub-band size,RB,6 (full size),,,,6 (full size),,,
CSI process for PDSCH scheduling,,,CSI process 2,,,,CSI process 2,,,
Cell ID,,,0,,6,,0,,6,
Quasi-co-located CSI-RS,,,CSI-RS 0,,CSI-RS 1,,CSI-RS 0,,CSI-RS 1,
Quasi-co-located CRS,,,Same Cell ID as Cell 1,,Same Cell ID as Cell 2,,Same Cell ID as Cell 1,,Same Cell ID as Cell 2,
"PMI for subframe 2, 3, 4, 7, 8 and 9",,,0x0000 0000 0000 0001,,100000,,0x0000 0000 0000 0001,,100000,
PMI for subframe 1 and 6,,,0x0000 0000 0001 0000,,100000,,0x0000 0000 0001 0000,,100000,
Max number of HARQ transmissions,,,1,,N/A,,1,,N/A,
