Parameter,,Unit,Cell 1,Cell 2,Cell 3
Uplink downlink configuration,,,1,1,1
Special subframe configuration,,,4,4,4
Downlink power allocation,PDCCH_RAPHICH_RAOCNG_RA,dB,-3,-3,-3
,PCFICH_RBPDCCH_RBPHICH_RBOCNG_RB,dB,-3,-3,-3
at antenna port,,dBm/15kHz,-98 (Note 1),N/A,N/A
,,dBm/15kHz,-98 (Note 2),N/A,N/A
,,dBm/15kHz,-93 (Note 3),N/A,N/A
,,dB,Reference Value in Table 8.4.2.2.4-4,5,3
BWChannel,,MHz,10,10,10
Subframe Configuration,,,Non-MBSFN,MBSFN,MBSFN
Time Offset between Cells,,s,N/A,3,-1
Frequency shift between Cells,,Hz,N/A,300,-100
Cell Id,,,0,126,1
ABS pattern (Note 4),,,N/A,00000000010000000001,00000000010000000001
RLM/RRM Measurement Subframe Pattern (Note 5),,,0000000001 0000000001,N/A,N/A
CSI Subframe Sets (Note 6),"CCSI,0",,0000000001 0000000001,N/A,N/A
,"CCSI,1",,1100111000 1100111000,N/A,N/A
MBSFN Subframe Allocation (Note 7),,,N/A,000010,000010
Number of control OFDM symbols,,,2,Note 8,Note 8
ACK/NACK feedback mode,,,Multiplexing,N/A,N/A
PHICH Ng (Note 11),,,1,N/A,N/A
PHICH duration,,,Normal,N/A,N/A
Unused RE-s and PRB-s,,,OCNG,OCNG,OCNG
Cyclic prefix,,,Normal,Normal,Normal
"Note 1:This noise is applied in OFDM symbols #1, #2, #3, #4, #5, #6, #7, #8, #9, #10, #11, #12, #13 of a subframe overlapping with the aggressor ABS.Note 2:This noise is applied in OFDM symbols #0 of a subframe overlapping with the aggressor ABS.Note 3:This noise is applied in OFDM symbols of a subframe overlapping with aggressor non-ABSNote 4:ABS pattern as defined in [9]. The 10th and 20th subframes indicated by ABS pattern are MBSFN ABS subframes. PDSCH other than SIB1/paging and its associated PDCCH/PCFICH are transmitted in the serving cell subframe when the subframe is overlapped with the MBSFN ABS subframe of aggressor cell and the subframe is available in the definition of the reference channel.Note 5:Time-domain measurement resource restriction pattern for PCell measurements as defined in [7].Note 6:As configured according to the time-domain measurement resource restriction pattern for CSI measurements defined in [7].Note 7:MBSFN Subframe Allocation as defined in [7], one frame with 6 bits is chosen for MBSFN subframe allocation.Note 8:The number of control OFDM symbols is not available for ABS and is 2 for the subframe indicated by “0” of ABS pattern.Note 9:Cell 1 is the serving cell. Cell 2 is the aggressor cell. The number of the CRS ports in Cell1 and Cell2 is the same.Note 10:SIB-1 will not be transmitted in Cell2 in this test.Note 11:According to Clause 6.9 in TS 36.211 [4]",,,,,
