Parameter,,Unit,Cell 1,Cell 2,Cell 3
Bandwidth,,MHz,10,,
Transmission mode,,,10,9,9
Downlink power allocation,,dB,0,,
,,dB,0,,
,Pc,dB,0,,
,,dB,0,,
Uplink downlink configuration,,,2,,
Special subframe configuration,,,4,,
Cyclic Prefix,,,Normal,Normal,Normal
Cell ID,,,0,1,6
SNR,,dB,8.34,N/A,N/A
,,dB,N/A,3.28,0.74
,,dB[mW/15kHz],-89.66,-94.72,-97.26
,,dB[mW/15kHz],-98,,
Propagation channel,,,EPA5,EPA5,EPA5
Correlation and antenna configuration,,,Low 2 x 2,Low 2 x 2,Low 2 x 2
Cell-specific reference signals,,,"Antenna ports 0,1","Antenna port 0,1","Antenna port 0,1"
Beamforming Model,,,As specified in Section B.4.3,,
CSI reference signals,,,"Antenna ports 15,16",N/A,N/A
CSI-RS periodicity and subframe offset,,,5/3,N/A,N/A
CSI-RS reference signal configuration,,,2,N/A,N/A
Zero-power CSI-RS configurationICSI-RS /       ZeroPowerCSI-RS bitmap,,Subframes / bitmap,N/A,3 /0001000000000000,3 /0001000000000000
Interference model,,,N/A,As specified in clause B.6.4,As specified in clause B.6.4
CSI process,CSI-RS,,CSI-RS,N/A,N/A
,CSI-IM,,CSI-IM,N/A,N/A
,Reporting mode,,PUCCH 1-1,N/A,N/A
,CodeBookSubsetRestriction bitmap,,000001,N/A,N/A
,Reporting periodicity,ms,Npd = 5,N/A,N/A
,CQI delay,ms,8,N/A,N/A
,Physical channel for CQI/ PMI reporting,,PUSCH(Note 3),N/A,N/A
,PUCCH Report Type for CQI/PMI,,2,N/A,N/A
,PUCCH channel for RI reporting,,PUCCH Format 2,N/A,N/A
,PUCCH report type for RI,,3,N/A,N/A
,cqi-pmi-ConfigurationIndex,,3,N/A,N/A
,ri-ConfigIndex,,805 (Note 5),N/A,N/A
CSI-IM periodicity and subframe offset TCSI-RS / ∆CSI-RS,,,5/1,N/A,N/A
CSI-IM configuration,,,6,N/A,N/A
CSI process for PDSCH scheduling,,,CSI process,N/A,N/A
Quasi-co-located CSI-RS,,,CSI-RS,N/A,N/A
Quasi-co-located CRS,,,Same Cell ID as Cell 1,N/A,N/A
Reference measurement channel,,,Note 2,N/A,N/A
Max number of HARQ transmissions,,,1,N/A,N/A
ACK/NACK feedback mode,,,Multiplexing,N/A,N/A
NeighCellsInfo-r12 (Note 6),p-aList-r12,,N/A,"{dB-6, dB-3, dB0}","{dB-6, dB-3, dB0}"
,transmissionModeList-r12,,N/A,"{2,3,4,8,9}","{2,3,4,8,9}"
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink SF not later than SF#(n-4), this reported wideband CQI cannot be applied at the eNB downlink before SF#(n+4)Note 2:Reference measurement channel RC.11 TDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1.Note 3:To avoid collisions between CQI/ PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#1 and #6 to allow periodic CQI/ PMI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#0 and #5.Note 4: All cells are time-synchronous.Note 5:RI reporting interval is set to the maximum allowable length of 160ms to minimise collisions between RI, CQI/PMI and HARQ-ACK reports. In the case when all three reports collide, it is expected that CQI/PMI reports will be dropped, while RI and HARQ-ACK will be multiplexed. At eNB, CQI report collection shall be skipped every 160ms during performance verification and the reported CQI in subframe SF#7 of the previous frame is applied in downlink subframes until a new CQI (after CQI/PMI dropping) is available.Note 6:NeighCellsInfo-r12 is described in subclause 6.3.2 of [7].",,,,,
