Parameter,,,Unit,Test 1
Discovery resource pool configuration,,,,As specified in Table A.7.1.1-1(Configuration #1-FDD)
DRX configuration,,,,As specified in Table 11.1.2-1
at antenna port (NOTE 3),,,dBm/15kHz,-98
Active cell(s),,,,Cell 1 (Serving cell)
Cell 1,Cyclic prefix,,,Normal
,Cell ID,,,0
,Downlink power allocation,,dB,0
,,,dB,0 (NOTE 1)
,,,dB,0
,OCNG Pattern (NOTE 2),,,OP.1 FDD
,Propagation channel,,,AWGN
,Antenna configuration,,,1x2
,RSRP,,dBm/15kHz,-92
Active Sidelink UE(s),,,,"Sidelink UE 1, Sidelink UE 2"
Sidelink UE 1,Sidelink Transmissions,,,PSDCH
,PSDCH RB allocation,,,PRB pairs {4..5}
,Time offset (NOTE 3),,s,0
,Frequency offset (NOTE 4),,Hz,0
,Propagation Channel,,,AWGN
,Antenna configuration,,,1x2 Low
Sidelink UE 2,Sidelink Transmissions,,,PSDCH
,PSDCH RB allocation,,,PRB pairs {6..7}
,Time offset (w.r.t. Cell 1 DL),,s,0
,Frequency offset (w.r.t. Cell 1 UL),,Hz,0
,Propagation Channel,,,AWGN
,Antenna configuration,,,1x2 Low
NOTE 1:.NOTE 2:OCNG is used to fully allocate the available resource blocks to virtual UEs.NOTE 3:Applicable to both DL channel and ProSe Direct Discovery Subframes on UL.NOTE 4:Time offset of Sidelink UE receive signal with respect to Cell 1 downlink timing at the tested UE.NOTE 5:Frequency offset of Sidelink UE with respect to Cell 1 uplink frequency.,,,,
