Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,5 MHz,,,
Transmission mode,,,1 (port 0),,,
Downlink power allocation,,dB,0,,,
,,dB,0,,,
,,dB,0,,,
SNR (Note 3),,dB,6,7,12,13
,,dB[mW/15kHz],-92,-91,-86,-85
,,dB[mW/15kHz],-98,,-98,
Propagation channel,,,EPA5,,,
Correlation and antenna configuration,,,High (1 x 2),,,
Reporting mode,,,PUCCH 1-0,,,
Reporting periodicity,,ms,Npd = 2,,,
CQI delay,,ms,8,,,
Physical channel for CQI reporting,,,PUSCH (Note 4),,,
PUCCH Report Type,,,4,,,
cqi-pmi-ConfigurationIndex,,,1,,,
Max number of HARQ transmissions,,,1,,,
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink SF not later than SF#(n-4), this reported wideband CQI cannot be applied at the eNB downlink before SF#(n+4)Note 2:Reference measurement channel RC.14 FDD according to Table A.4-1 for Category ≥ 2 with one sided dynamic OCNG Pattern OP.1 FDD as described in Annex A.5.1.1 and RC.15 FDD according to Table A.4-1 for Category 1 with one/two sided dynamic OCNG Pattern OP.1/2 FDD as described in Annex A.5.1.1/2.Note 3:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 4:To avoid collisions between CQI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#1, #3, #7 and #9 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#5, #7, #1 and #3.",,,,,,
