Parameter,,Unit,TP 1,TP 2
Downlink power allocation,,dB,0,0
,,dB,0 (Note 1),0
,,dB,-3,-3
Cell-specific reference signals,,,"Antenna ports 0,1",(Note 2)
CSI-RS 0 antenna ports,,,NA,"Port {15,16}"
"qcl-CSI-RS-ConfigNZPId-r11, CSI-RS  0 periodicity and subframe offset TCSI-RS / ∆CSI-RS",,Subframes,NA,5/2
"qcl-CSI-RS-ConfigNZPId-r11, CSI-RS 0 configuration",,,NA,8
"csi-RS-ConfigZPId-r11, Zero-power CSI-RS 0 configuration ICSI-RS /ZeroPower CSI-RS bitmap",,,NA,2/0000010000000000
at antenna port,,dBm/15kHz,-98,-98
,,dB,Reference point in Table 8.3.1.3.1-3,Reference point in Table 8.3.1.3.1-3
BWChannel,,MHz,10,10
Cyclic Prefix,,,Normal,Normal
Cell Id,,,0,0
Number of control OFDM symbols,,,2,2
PDSCH transmission mode,,,Blanked,10
Number of allocated PRB,,PRB,NA,50
"qcl-Operation, ‘PDSCH RE Mapping and Quasi-Co-Location Indicator’",,,"Type B, ‘00’",
Time offset between TPs,,s,NA,Reference point in Table 8.3.1.3.1-3
Frequency error between TPs,,Hz,NA,0
Beamforming model,,,NA,Port 7 as specified in clause B.4.1
Symbols for unused PRBs,,,NA,OCNG (Note 3)
"Note 1:Noet 2: REs for antenna ports 0 and 1 have zero transmission power.Note 3:These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated pseudo random data, which is QPSK modulated.",,,,
