Parameter,,,Unit,Cell 1,Cell 2,,Cell 3,
Downlink power allocation,,,dB,-3,-3,,-3,
,,,dB,-3 (Note 1),-3,,-3,
,,,dB,0,0,,0,
Cell-specific reference signals,,,,"Antenna ports 0,1","Antenna ports 0,1",,"Antenna ports 0,1",
at antenna port,,,dBm/15kHz,-98,,,,
Test number (Note 4),,,,,Test 1,Test 2,Test 1,Test 2
,,,dB,N/A,13.91,3.28,3.34,0.74
Cell Id,,,,,6,1,1,6
CFI indicated in PCFICH,,,,,3,"Random from set {1,2,3}",3,"Random from set {1,2,3}"
BWChannel,,,MHz,10,10,,10,
Cyclic Prefix,,,,Normal,Normal,,Normal,
Number of control OFDM symbols,,,,3,3,,3,
PDSCH transmission mode,,,,4,4,,4,
Interference model,,,,N/A,As specified in clause B.6.3,,As specified in clause B.6.3,
Precoding,,,,Random wideband precoding per TTI,As specified in clause B.6.3,,As specified in clause B.6.3,
Time offset to cell 1,,,us,N/A,2,,3,
Frequency offset to cell 1,,,Hz,N/A,200,,300,
MBSFN,,,,Not configured,Not configured,,Not configured,
NeighCellsInfo-r12(Note 3),p-aList-r12,,,N/A,"{dB-6, dB-3, dB0}",,"{dB-6, dB-3, dB0}",
,transmissionModeList-r12,,,N/A,"{2,3,4,8,9}",,"{2,3,4,8,9}",
"Note 1:Note 2:Cell 1 is the serving cell. Cell 2, 3 are the interfering cells.Note 3:NeighCellsInfo-r12 is described in subclause 6.3.2 of [7].Note 4:Test 1 and Test 2 are defined in Table 8.2.1.4.1D-2.",,,,,,,,
