Parameter,,Unit,Cell 1,Cell 2,Cell 3
Downlink power allocation,,dB,-3,-3,-3
,,dB,-3 (NOTE 1),-3 (NOTE 1),-3 (NOTE 1)
,,dB,0,N/A,N/A
at antenna port,,dBm/15kHz,-98 (NOTE 2),N/A,N/A
,,dBm/15kHz,-98 (NOTE 3),N/A,N/A
,,dBm/15kHz,-93 (NOTE 4),N/A,N/A
,,dB,Reference Value in Table8.2.1.2.3A-2,12,10
BWChannel,,MHz,10,10,10
Subframe Configuration,,,Non-MBSFN,Non-MBSFN,Non-MBSFN
Time Offset between Cells,,s,N/A,3,-1
Frequency shift between Cells,,Hz,N/A,300,-100
Cell Id,,,0,126,1
ABS pattern (NOTE 5),,,N/A,1100000011000000110000001100000011000000,1100000011000000110000001100000011000000
RLM/RRM Measurement Subframe Pattern (NOTE 6),,,1000000010000000100000001000000010000000,N/A,N/A
CSI Subframe Sets (NOTE 7),"CCSI,0",,11000000 11000000 11000000 11000000 11000000,N/A,N/A
,"CCSI,1",,00111111 00111111 00111111 00111111 00111111,N/A,N/A
Number of control OFDM symbols,,,2,NOTE 8,NOTE 8
PDSCH transmission mode,,,2,NOTE 9,NOTE 9
Cyclic prefix,,,Normal,Normal,Normal
"NOTE 1:.NOTE 2:This noise is applied in OFDM symbols #1, #2, #3, #5, #6, #8, #9, #10, #12, #13 of a subframe overlapping with the aggressor ABS.NOTE 3:This noise is applied in OFDM symbols #0, #4, #7, #11 of a subframe overlapping with the aggressor ABS.NOTE 4:This noise is applied in all OFDM symbols of a subframe overlapping with aggressor non-ABSNOTE 5:ABS pattern as defined in [9].NOTE 6:Time-domain measurement resource restriction pattern for PCell measurements as defined in [7]NOTE 7:As configured according to the time-domain measurement resource restriction pattern for CSI measurements defined in [7].NOTE 8:The number of control OFDM symbols is not available for ABS and is 2 for the subframe indicated by “0” of ABS pattern.NOTE 9:Downlink physical channel setup in Cell 2 and Cell 3 in accordance with Annex C.3.3 applying OCNG pattern as defined in Annex A.5.NOTE 10:The number of the CRS ports in Cell 1, Cell 2 and Cell 3 is the same.NOTE 11:SIB-1 will not be transmitted in Cell 2 and Cell 3 in this test.",,,,,
