Parameter,,Unit,Test,
Bandwidth,,MHz,10,
PDSCH transmission mode,,,9,
Uplink downlink configuration in SIB1,,,0,
Downlink HARQ reference configuration (eimta-HarqReferenceConfig-r12) (Note 4),,,2,
"Set of dynamic TDD UL-DL configurations (Notes 4,5)",,,"{0, 2}",
Periodicity of monitoring the L1 reconfiguration DCI (eimta-CommandPeriodicity-r12),,ms,10,
Set of subframes to monitor the L1 reconfiguration DCI (eimta-CommandSubframeSet-r12),,,SF#5,
CSI-MeasSubframeSet-r12,,,0001100011,
Special subframe configuration,,,4,
Downlink power allocation,,dB,0,
,,dB,0,
,,dB,0,
,,dB,-3,
CRS reference signals,,,"Antenna ports 0, 1",
CSI reference signals,,,"Antenna ports 15,16",
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/4,
CSI reference signal configuration,,,4,
Zero-Power CSI-RS configuration 0ICSI-RS / ZeroPowerCSI-RS bitmap,,,0 /0000010000000000,
Zero-Power CSI-RS configuration 1ICSI-RS / ZeroPowerCSI-RS bitmap,,,4 /0100000000000000,
Propagation condition and antenna configuration,,,Clause B.1 (2 x 2),
Beamforming Model,,,As specified in Section B.4.3,
CodeBookSubsetRestriction bitmap,,,'000001',
SNR in CSI subframe set 0,,dB,0,1
SNR in CSI subframe set 1,,dB,10,11
,,dB[mW/15kHz],-98,-97
for CSI subframe set 0,,dB[mW/15kHz],-98,-98
for CSI subframe set 1,,dB[mW/15kHz],-108,-108
PDSCH scheduled subframes for CSI subframe set 0,,,"0,5",
PDSCH scheduled subframes for CSI subframe set 1,,,"3,4,8,9",
Max number of HARQ transmissions,,,1,
Physical channel for CQI/PMI reporting,,,PUSCH (Note 6),
PUCCH Report Type for CQI/second PMI,,,2b,
Physical channel for RI reporting,,,PUSCH,
PUCCH Report Type for RI/ first PMI,,,5,
Reporting periodicity,,ms,Npd = 10 for each Rel-12 CSI subframe set,
CQI delay,,ms,14 for CSI subframe set 012 for CSI subframe set 1,
cqi-pmi-ConfigurationIndex,,,8 for set 013 for set 1,
ri-ConfigIndex,,,805 for both set 0 and set 1 (Note 7),
ACK/NACK feedback mode,,,Multiplexing,
"Note 1:Reference measurement channel RC.19 TDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 TDD and dynamic OCNG Pattern with multiple non-contiguous blocks OP.7 TDD as described in Annex A.5.2.1/7 for CSI subframe set 0.Note 2:Reference measurement channel RC.20 TDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1 for CSI subframe set 1.Note 3:In the test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level for each CSI subframe set separately.Note 4:As specified in Table 4.2-2 in TS 36.211.Note 5: UL/DL configuration in PDCCH with eIMTA-RNTI is cyclically selected from the given set on a per-DCI basis.Note 6:To avoid collisions between CQI/PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#1 and #6 to allow periodic CQI/PMI to multiplex with the HARQ-ACK on PUSCH in uplink SF#7 and #2. CQI/PMI reports for CSI subframe set 0 is transmitted in SF#2 and CQI/PMI reports for CSI subframe set 1 is transmitted in SF#7.Note 7:RI reporting interval is set to the maximum allowable length of 160ms to minimise collisions between RI, CQI/PMI and HARQ-ACK reports. In the case when all three reports collide, it is expected that CQI/PMI reports will be dropped, while RI and HARQ-ACK will be multiplexed. At eNB, CQI report collection shall be skipped every 160ms during performance verification.",,,,
