Parameter,,Unit,Test 1,Test 1a
Bandwidth,,MHz,10,10
Transmission mode,,,9,9
Uplink downlink configuration,,,1,1
Special subframe configuration,,,4,4
Propagation channel,,,EPA5,EPA5
Precoding granularity,,PRB,50,50
Correlation and antenna configuration,,,ULA Low 8 x 2,ULA Low 8 x 2
Beamforming model,,,Annex B.4.3,Annex B.4.3
Cell-specific reference signals,,,"Antenna ports 0,1","Antenna ports 0,1"
CSI reference signals,,,"Antenna ports15,…,22","Antenna ports15,…,22"
FrequencyDensityBeamformed,,,1,1/2
NZP-TransmissionCombBeamformed,,,N/A,0
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/ 4,5/ 4
CSI-RS reference signal configuration,,,0,0
eMIMO-Type,,,Class B,Class B
alternativeCodebookEnabledCLASSB_K1,,,TRUE,TRUE
codebookSubsetRestriction-3,,,0x 000 0000 0000 FFFF,0x 000 0000 0000 FFFF
Downlink power allocation,,dB,0,0
,,dB,0,0
,Pc,dB,-3,-3
,,dB,-3,-3
,,dB[mW/15kHz],-98,-98
Reporting mode,,,PUCCH 1-1,PUCCH 1-1
Reporting interval,,ms,5,5
PMI delay (Note 2),,ms,10,10
Physical channel for CQI/PMI reporting,,,PUSCH (Note 3),PUSCH (Note 3)
PUCCH Report Type for CQI/ PMI,,,2,2
Physical channel for RI reporting,,,PUSCH,PUSCH
PUCCH Report Type for RI,,,3,3
cqi-pmi-ConfigurationIndex,,,4,4
ri-ConfigIndex,,,805,805
Measurement channel,,,R.45 TDD,R.45A TDD
Rank number of PDSCH,,,1,1
OCNG Pattern,,,OP.1 TDD,OP.1 TDD
Max number of HARQ transmissions,,,4,4
Redundancy version coding sequence,,,"{0,1,2,3}","{0,1,2,3}"
ACK/NACK feedback mode,,,Multiplexing,Multiplexing
"Note 1:For random precoder selection, the precoder shall be updated in each TTI (1 ms granularity).Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:To avoid collisions between CQI/PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH.Note 4:PDCCH DCI format 0 with a trigger for aperiodic CQI shall be transmitted in downlink SF#4 and #9 to allow aperiodic CQI/PMI/RI to be transmitted on uplink SF#3 and #8.",,,,
