Parameter,,Unit,Test 1,Test 2,Test 2a (Note 4),Test 3,Test 4
Downlink power allocation,,dB,-3,-3,-3,-3,-3
,,dB,-3 (Note 1),-3 (Note 1),-3 (Note 1),-3 (Note 1),-3 (Note 1)
,,dB,0,0,0,0,0
,δ,dB,3,3,3,3,3
at antenna port,,dBm/15kHz,-98,-98,-98,-98,-98
Coverage enhancement mode,,,CE Mode A,CE Mode B,CE Mode B,CE Mode A,CE Mode A
PDSCH transmission mode,,,2,2,2,2,2
OFDM starting symbol (startSymbolBR),,,2,2,2,2,2
Maximum number of repetitions for PDSCH (pdsch-maxNumRepetitionCEmodeA/ pdsch-maxNumRepetitionCEmodeB),,,Not configured,Not configured,Not configured,Not configured,Not configured
PDSCH repetition number,,,8,32,32,4,2
Frequency hopping(mpdcch-pdsch-HoppingConfig),,,Enabled,Enabled,Enabled,Disabled,Disabled
Frequency hopping offset(mpdcch-pdsch-HoppingOffset),,,5,5,5,N/A,N/A
Frequency hopping interval(interval-FDD),,ms,4,16,16,N/A,N/A
Maximum number of MPDCCH repetitions(mpdcch-NumRepetition),,,16,64,64,8,2
MPDCCH transmission duration,,ms,16,64,64,8,2
Number of narrowbands for frequency hopping (mpdcch-pdsch-HoppingNB),,,2,2,2,N/A,N/A
Starting subframe configuration for MPDCCH(mpdcch_startSF_UESS),,,2,2,2,2.5,5
Narrowband for MPDCCH(mpdcch_Narrowband),,,0,0,0,0,0
MPDCCH aggregation level,,,24,24,24,24,24
CRS muting outside UE RF bandwidth (crs-IntfMitigEnabled),,,Disabled,Disabled,Enabled,Disabled,Disabled
Number of PRBs for CRS transmission (crs-IntfMitigNumPRBs),,,N/A,N/A,24,N/A,N/A
"Note 1:.Note 2:For each test, DC subcarrier puncturing shall be considered.Note 3:If not otherwise stated, the values in this table refer to parameters in TS 36.211 [4] or/and TS 36.213 [6] as appropriate.Note 4:Test 2a is applicable for UE supporting CE Mode B and UE capable of ce-CRS-IntfMitig.",,,,,,,
