Parameter,,Unit,Cell 1,Cell 2,Cell 3
Uplink downlink configuration,,,1,1,1
Special subframe configuration,,,4,4,4
Downlink power allocation,,dB,0,0,0
,,dB,0 (Note 1),0 (Note 1),0 (Note 1)
,,dB,-3,-3,-3
at antenna port,,dBm/15kHz,-98,N/A,N/A
,,dB,Reference Value in Table 8.10.1.2.12-2,10.45,4.6
BWChannel,,MHz,10,10,10
Cyclic prefix,,,Normal,Normal,Normal
Subframe Configuration,,,Non-MBSFN,Non-MBSFN,Non-MBSFN
Cell ID,,,0,1,6
Cell-specific reference signals,,,"Antenna ports 0,1",,
CSI reference signals,,,"Antenna ports 15,16",N/A,N/A
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,Subframes,5 / 4,N/A,N/A
CSI reference signal configuration,,,8,N/A,N/A
Zero-power CSI-RS configurationICSI-RS /       ZeroPowerCSI-RS bitmap,,Subframes / bitmap,4 /0010000000000000,N/A,N/A
Number of control OFDM symbols (CFI),,,2,2,2
PDSCH transmission mode,,,9,N/A,N/A
Precoding granularity,,PRB,Frequency domain: 50 PRBTime domain: 1 ms,N/A,N/A
Beamforming model,,,Annex B.4.1,,
ACK/NACK feedback mode,,,Multiplexing,N/A,N/A
Time Offset relative to Cell 1,,s,N/A,3,-1
Frequency shift relative to Cell 1,,Hz,N/A,300,-100
Interference model,,,N/A,As specified in clause B.5.4,As specified in clause B.5.4
Probability of occurrence of transmission in interference cells,,%,N/A,20,20
Probability of occurrence of transmission rank in interfering cells,Rank 1,%,N/A,80,80
,Rank 2,%,N/A,20,20
Note 1:.,,,,,
