Parameter,,,Unit,Cell 1,Cell 2,Cell 3
Downlink power allocation,PDCCH_RAPHICH_RAPDSCH_RAOCNG_RA,,dB,-3,-3,-3
,PCFICH_RBPHICH_RB PDCCH_RBPDSCH_RBOCNG_RB,,dB,-3,-3,-3
Cell-specific reference signals,,,,"Antenna ports 0,1","Antenna ports 0,1","Antenna ports 0,1"
at antenna port,,,dBm/15kHz,-98,,
,,,dB,N/A,13.91,3.34
BWChannel,,,MHz,10,10,10
Cyclic Prefix,,,,Normal,Normal,Normal
Cell ID,,,,0,1,6
Subframe Configuration,,,,Non-MBSFN,Non-MBSFN,Non-MBSFN
Number of control OFDM symbols,,,,1,1,1
PHICH Ng (Note 1),,,,1,N/A,N/A
PHICH duration,,,,Normal,N/A,N/A
Interference model,,,,N/A,As specified in clause B.5.2,As specified in clause B.5.2
Probability of occurrence of PDSCH transmission rank in interfering cells,,Rank 1,%,N/A,80,80
,,Rank 2,%,N/A,20,20
Unused RE-s and PRB-s,,,,OCNG,OCNG,OCNG
Time offset relative to Cell 1,,,ms,N/A,0.33,0.67
Frequency offset relative to Cell 1,,,Hz,N/A,0,0
Note 1:According to Clause 6.9 in TS 36.211 [4].,,,,,,
