Parameter,,Unit,Test 1
Bandwidth,,MHz,10
Transmission mode,,,9
Propagation channel,,,EPA5
Precoding granularity,,PRB,6
Downlink power allocation,ρA,dB,0
,ρB,dB,0
,,dB,-3
,δ,dB,0
NOC(j),,dB[mW/15kHz],-98
Correlation and antenna configuration,,,High XP 8 x 2
Beamforming model,,,Annex B.4.3
Cell-specific reference signals,,,"Antenna ports 0,1"
CSI reference signals,,,"Antenna ports15,…,22"
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,5/1
CSI-RS reference signal configuration,,,0
CodeBookSubsetRestriction bitmap,,,0x0000 0000 001F FFE0 0000 0000 FFFF
Reporting mode,,,PUCCH 1-1 submode1
Reporting interval,,ms,5
PMI delay (Note 2),,ms,10
Physical channel for CQI/PMI reporting,,,PUSCH (Note 3)
PUCCH Report Type for CQI/second PMI,,,2b
PUCCH Report Type for RI/ first PMI,,,2a
cqi-pmi-ConfigurationIndex,,,4
Measurement channel,,,R.108 FDD
OCNG Pattern,,,OP.1 FDD
Max number of HARQ transmissions,,,4
Redundancy version coding sequence,,,"{0,1,2,3}"
ce-csi-rs-feedback-config,,,Configured
Frequency hopping,,,Disabled
Frequency hopping inverval(interval-FDD),,,N/A
Starting OFDM symbol (startSymbolBR),,,3
PDSCH repetition level,,,1
MPDCCH repetition level,,,1
Beamforming Precoder for MPDCCH,,,No precoding
Precoder update granularity for MPDCCH,,,N/A
BL/CE DL subframe configuration (fdd-DownlinkOrTddSubframeBitmapBR),,,1111111111
"Note 1:For random precoder selection, the precoder shall be updated in each TTI (1 ms granularity)Note 2:If the UE reports in an available uplink reporting instance at subframe SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:To avoid collisions between CQI/PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH.Note 4:PDSCH _RA = 0dB, PDSCH_RB = 0dB in order to have the same PDSCH and OCNG power per subcarrier at the receiver.Note 5:Randomization of the principle beam direction shall be used as specified in B.2.3A.4",,,
