Parameter,,,Unit,Test 1
Discovery resource pool configuration,,,,As specified in Table A.7.1.1-1(Configuration #1-FDD)
DRX configuration,,,,As specified in Table 11.1.2-1
at antenna port (NOTE 3),,,dBm/15kHz,-98
Active cell(s),,,,Cell 1 (Serving cell)
Cell 1,Cyclic prefix,,,Normal
,Cell ID,,,0
,Downlink power allocation,,dB,0
,,,dB,0 (NOTE 1)
,,,dB,0
,OCNG Pattern (NOTE 2),,,OP.1 FDD
,Propagation channel,,,AWGN
,Antenna configuration,,,1x2
,RSRP,,dBm/15kHz,-92
Active Sidelink UE(s),,,,Sidelink UE 1
Sidelink UE 1,Sidelink Transmissions,,,PSDCH
,PSDCH RB allocation,,,"PRB pairs {2i..2i+1}, where i is chosen randomly uniformly from [0,11] in each discovery period."
,Time offset (NOTE 4),,s,+1
,Frequency offset (NOTE 5),,Hz,+200
,Propagation Channel,,,EPA5
,Antenna configuration,,,1x2 Low
NOTE 1:.NOTE 2:OCNG is used to fully allocate the available resource blocks to virtual UEs.NOTE 3: Applicable to both DL channel and ProSe Direct Discovery Subframes on UL.NOTE 4: Time offset of Sidelink UE receive signal with respect to Cell 1 downlink timing at the tested UE.NOTE 5: Frequency offset of Sidelink UE with respect to Cell 1 uplink frequency.,,,,
