Parameter,,Unit,Cell 1,Cell 2,Cell 3
Downlink power allocation,PDCCH_RAPHICH_RAOCNG_RA,dB,-3,-3,-3
,PCFICH_RBPDCCH_RBPHICH_RBOCNG_RB,dB,-3,-3,-3
at antenna port,,dBm/15kHz,-98(Note 1),N/A,N/A
,,dBm/15kHz,-98 (Note 2),N/A,N/A
,,dBm/15kHz,-93 (Note 3),N/A,N/A
,,dB,Reference Value in Table 8.4.1.2.4-2,5,3
BWChannel,,MHz,10,10,10
Subframe Configuration,,,Non-MBSFN,Non-MBSFN,Non-MBSFN
Time Offset between Cells,,s,N/A,3,-1
Frequency shift between Cells,,Hz,N/A,300,-100
Cell Id,,,0,126,1
ABS pattern (Note 4),,,N/A,0000010000000100000001000000010000000100,0000010000000100000001000000010000000100
RLM/RRM Measurement Subframe Pattern (Note 5),,,00000100 00000100 00000100 00000100 00000100,N/A,N/A
CSI Subframe Sets (Note 6),"CCSI,0",,00000100 00000100 00000100 00000100 00000100,N/A,N/A
,"CCSI,1",,11111011 11111011 11111011 11111011 11111011,N/A,N/A
Number of control OFDM symbols,,,2,Note 7,Note 7
PHICH Ng (Note 10),,,1,N/A,N/A
PHICH duration,,,Normal,N/A,N/A
Unused RE-s and PRB-s,,,OCNG,OCNG,OCNG
Cyclic prefix,,,Normal,Normal,Normal
"Note 1:This noise is applied in OFDM symbols #1, #2, #3, #5, #6, #8, #9, #10,#12, #13 of a subframe overlapping with the aggressor ABS.Note 2:This noise is applied in OFDM symbols #0, #4, #7, #11 of a subframe overlapping with the aggressor ABS.Note 3:This noise is applied in all OFDM symbols of a subframe overlapping with aggressor non-ABSNote 4:ABS pattern as defined in [9]. PDCCH/PCFICH other than that associated with SIB1/Paging are transmitted in the serving cell subframe when the subframe is overlapped with the ABS subframe of aggressor cell.Note 5:Time-domain measurement resource restriction pattern for PCell measurements as defined in [7];Note 6:As configured according to the time-domain measurement resource restriction pattern for CSI measurements defined in [7];Note 7:The number of control OFDM symbols is not available for ABS and is 2 for the subframe indicated by “0” of ABS pattern.Note 8:The number of the CRS ports in Cell1, Cell2 and Cell 3is the same.Note 9:SIB-1 will not be transmitted in Cell2 and Cell 3 in the test.Note 10According to Clause 6.9 in TS 36.211 [4]",,,,,
