Parameter,,,Unit,Test 1
Communication resource pool configuration,,,,As specified in Table A.7.2.1-2(Configuration #2-FDD)
DRX configuration,,,,As specified in Table 12.1.2-1
at antenna port (Note 3),,,dBm/15kHz,-98
Active cell(s),,,,Cell 1 (Serving cell)
Cell 1,Cyclic prefix,,,Normal
,Cell ID,,,0
,Downlink power allocation,,dB,0
,,,dB,0 (NOTE 1)
,,,dB,0
,OCNG Pattern (Note 2),,,OP.1 FDD
,Propagation channel,,,AWGN
,Antenna configuration,,,1x2
,RSRP,,dBm/15kHz,-92
Active Sidelink UE(s),,,,"Sidelink UE 1, Sidelink UE 2"
Sidelink UE 1,Sidelink Transmissions,,,PSCCH + PSSCH
,PSCCH RMC,,,5 MHz: CC.1  FDD10 MHz: CC.2 FDD
,PSCCH subframe allocation,,,(as defined in TS 36.213)
,PSCCH RB allocation,,,
,of PSCCH at antenna port,,dBm/15kHz,-85
,PSSCH RMC,,,As specified in Table 12.5.1-2
,PSSCH subframe allocation,,,As per time repetition pattern specified in PSCCH
,PSSCH RB allocation,,,"PRB pairs {4, 5}"
,Time offset (NOTE 4),,s,0
,Frequency offset (NOTE 5),,Hz,0
,Propagation Channel,,,AWGN
,Antenna configuration,,,1x2
Sidelink UE 2,Sidelink Transmissions,,,PSCCH + PSSCH
,PSCCH RMC,,,5 MHz: CC.1  FDD10 MHz: CC.2 FDD
,PSCCH subframe allocation,,,(as defined in TS 36.213)
,PSCCH RB allocation,,,
,of PSCCH at antenna port,,dBm/15kHz,-85
,PSSCH RMC,,,As specified in Table 12.5.1-2
,PSSCH subframe allocation,,,As per time repetition pattern specified in PSCCH
,PSSCH RB allocation,,,"PRB pairs {6, 7}"
,Time offset (NOTE 4),,s,0
,Frequency offset (NOTE 5),,Hz,0
,Propagation Channel,,,AWGN
,Antenna configuration,,,1x2
NOTE 1:.NOTE 2:OCNG is used to fully allocate the available resource blocks to virtual UEs.NOTE 3: Applicable to both DL channel and ProSe Direct Communication Subframes on UL.NOTE 4:The power of PSCCH is set high to ensure reliable reception of PSCCH.NOTE 4:Time offset of Sidelink UE receive signal with respect to Cell 1 downlink timing at the tested UE.NOTE 5:Frequency offset of Sidelink UE with respect to Cell 1 uplink frequency.,,,,
