Parameter,,Unit,CE Mode A (Test 1),CE Mode B (Test 1)
OFDM starting symbol (startSymbolLC),,symbols,2,2
Unused RE-s and PRB-s,,,OCNG,OCNG
Cell ID,,,0,0
Downlink power allocation,,dB,-3,0
,,dB,-3,0
,,dB,0,-3
,δ,dB,3,0
at antenna port,,dBm/15kHz,-98,-98
Cyclic prefix,,,Normal,Normal
Subframe Configuration,,,Non-MBSFN,Non-MBSFN
Precoder Update Granularity,,PRB,1,1
,,ms,4 (Note 2),16 (Note 2)
Beamforming Pre-Coder,,,Annex B.4.4,Annex B.4.4
Cell Specific Reference Signal,,,Port 0 and 1,Port 0 and 1
Number of PRB per MPDCCH Set,,,4,2+4
Transmission type,,,Distributed,Localized
Frequency hopping,,,Disabled,Enabled
Number of frequency hopping narrowbands,,,N/A,4
Frequency hopping offset,,,N/A,1
Frequency hopping interval,,ms,N/A,16
Value of G in MPDCCH start subframe (mpdcch-startSF-UESS) (Note 3),,,1.5,1.5
Maximum number of repetitions (mPDCCH-NumRepetition),,,32,64
MPDCCH repetition number,,,32,64
MPDCCH narrowband (mpdcch-Narrowband),,,1,7
PDSCH TM,,,TM2,TM2
DCI Format,,,6-1A,6-1B
fdd-DownlinkOrTddSubframeBitmapBR,,,1111111111,1111111111
"Note1:For each test, DC subcarrier puncturing shall be considered.Note2:Same precoding matrix is used for a PRB across subframes during the frequency hopping interval.Note 3:For MPDCCH UE-specific search space the formula for the start subframe k0 is given in TS 36.213 [6] clause 9.1.5.Note 4:If not otherwise stated, the values in this table refer to parameters in TS 36.211 [4] or/and TS 36.213 [6] as appropriate.",,,,
