Parameter,,Unit,Test 5,Test 6
Downlink power allocation,,dB,-3,-3
,,dB,-3 (Note 1),-3 (Note 1)
,,dB,0,0
,δ,dB,3,3
at antenna port,,dBm/15kHz,-98,-98
ACK/NACK feedback mode,,,Multiplexing,Multiplexing
PDSCH transmission mode,,,2,2
Coverage enhancement mode,,,CE Mode A,CE Mode A
PDSCH transmission mode,,,2,2
OFDM starting symbol (startSymbolBR),,,2,2
Maximum number of repetitions(for PDSCH (pdsch-maxNumRepetitionCEmodeA/ pdsch-maxNumRepetitionCEmodeB)),,,Not configured,Not configured
PDSCH repetition number,,,1,1
Frequency hopping(mpdcch-pdsch-HoppingConfig),,,Disabled,Disabled
Frequency hopping offset(mpdcch-pdsch-HoppingOffset),,,N/A,N/A
Frequency hopping interval(interval-TDD),,ms,N/A,N/A
MPDCCH transmission duration(mPDCCH-NumRepetition),,ms,4,1
MPDCCH repetition number,,,4,1
Number of narrowbands for frequency hopping (mpdcch-pdsch-HoppingNB),,,N/A,N/A
Starting subframe configuration for MPDCCH(mpdcch-startSF-UESS),,,1,1
Narrowband for MPDCCH(mpdcch_Narrowband),,,0,0
MPDCCH aggregation level,,,8,8
CRS muting outside UE RF bandwidth (crs-IntfMitigEnabled),,,Disabled,Disabled
Activation of 64QAM for non-repeated PDSCH in CE Mode A(ce-PDSCH-64QAM-Config),,,Disabled,Enabled
"Note 1:.Note 2:For each test, DC subcarrier puncturing shall be considered.Note 3:If not otherwise stated, the values in this table refer to parameters in TS 36.211 [4] or/and TS 36.213 [6] as appropriate.Note 4:Test 6 is applicable for UE capable of ce-PDSCH-64QAM.",,,,
