Test num.,Band-width,Reference channel,OCNG pattern,Propa-gation condi-tion,Correlation matrix and antenna config.,Reference value,,UE category
,,,,,,Fraction of maximum throughput (%),SNR (dB),
1,10 MHz,R.2 FDD,OP.1 FDD,EVA5,1x2 Low,70,-1.0,≥1
2,10 MHz,R.2 FDD,OP.1 FDD,ETU70,1x2 Low,70,-0.4,≥1
3,10 MHz,R.2 FDD,OP.1 FDD,ETU300,1x2 Low,70,0.0,≥1
4,10 MHz,R.2 FDD,OP.1 FDD,HST,1x2,70,-2.4,≥1
5,1.4 MHz,R.4 FDD,OP.1 FDD,EVA5,1x2 Low,70,0.0,≥1
6,10 MHz,R.3 FDD,OP.1 FDD,EVA5,1x2 Low,70,6.7,≥2
,5 MHz,R.3-1 FDD,OP.1 FDD,EVA5,1x2 Low,70,6.7,1
,5 MHz(NOTE 4),R.3-1 FDD,OP.1 FDD,EVA5,1x2 Low,70,6.7,≥2
7,10 MHz,R.3 FDD,OP.1 FDD,ETU70,1x2 Low,30,1.4,≥2
,5 MHz,R.3-1 FDD,OP.1 FDD,ETU70,1x2 Low,30,1.4,1
,5 MHz(NOTE 4),R.3-1 FDD,OP.1 FDD,ETU70,1x2 Low,30,1.4,≥2
8,10 MHz,R.3 FDD,OP.1 FDD,ETU300,1x2 High,70,9.4,≥2
,5 MHz,R.3-1 FDD,OP.1 FDD,ETU300,1x2 High,70,9.4,1
,5 MHz(NOTE 4),R.3-1 FDD,OP.1 FDD,ETU300,1x2 High,70,9.4,≥2
9,3 MHz,R.5 FDD,OP.1 FDD,EVA5,1x2 Low,70,17.6,≥1
10,5 MHz,R.6 FDD,OP.1 FDD,EVA5,1x2 Low,70,17.4,≥2
,5 MHz,R.6-1 FDD,OP.1 FDD,EVA5,1x2 Low,70,17.5,1
11,10 MHz,R.7 FDD,OP.1 FDD,EVA5,1x2 Low,70,17.7,≥2
,10 MHz,R.7-1 FDD,OP.1 FDD,EVA5,1x2 Low,70,16.7,1
12,10 MHz,R.7 FDD,OP.1 FDD,ETU70,1x2 Low,70,19.0,≥2
,10 MHz,R.7-1 FDD,OP.1 FDD,ETU70,1x2 Low,70,18.1,1
13,10 MHz,R.7 FDD,OP.1 FDD,EVA5,1x2 High,70,19.1,≥2
,10 MHz,R.7-1 FDD,OP.1 FDD,EVA5,1x2 High,70,17.8,1
14,15 MHz,R.8 FDD,OP.1 FDD,EVA5,1x2 Low,70,17.7,≥2
,15 MHz,R.8-1 FDD,OP.1 FDD,EVA5,1x2 Low,70,16.8,1
15,20 MHz,R.9 FDD,OP.1 FDD,EVA5,1x2 Low,70,17.6,≥3
,20 MHz,R.9-2 FDD,OP.1 FDD,EVA5,1x2 Low,70,17.3,2
,20 MHz,R.9-1 FDD,OP.1 FDD,EVA5,1x2 Low,70,16.7,1
16,3 MHz,R.0 FDD,OP.1 FDD,ETU70,1x2 Low,30,1.9,≥1
17,10 MHz,R.1 FDD,OP.1 FDD,ETU70,1x2 Low,30,1.9,≥1
18,20 MHz,R.1 FDD,OP.1 FDD,ETU70,1x2 Low,30,1.9,≥1
19,10 MHz,R.41 FDD,OP.1 FDD,EVA5,1x2 Low,70,-5.4,≥1
NOTE 1:Void.NOTE 2:Void.NOTE 3:Void.NOTE 4:Test case applicability is defined in 8.1.2.1.,,,,,,,,
