Test set,UE-EUTRA-Capability [7],Test category,,Test list,Applicability notes
1,cch-InterfMitigation-RefRecTypeA-r13 (Enhanced downlink control channel interference mitigation Type A receiver for 2 CRS antenna ports for UEs with 2 receiver antenna ports),FDD,PDCCH/PCFICH,8.4.1.2.5 Test 18.4.1.2.6 Test 1,
,,,PHICH,8.5.1.2.5 Test 18.5.1.2.6 Test 1,
,,,EPDCCH,8.8.4.1 Test 18.8.6.1 Test 1,
,,TDD,PDCCH/PCFICH,8.4.2.2.5 Test 18.4.2.2.6 Test 1,
,,,PHICH,8.5.2.2.5 Test 18.5.2.2.6 Test 1,
,,,EPDCCH,8.8.4.2 Test 18.8.5.1 Test 1,
2,cch-InterfMitigation-RefRecTypeA-r13 (Enhanced downlink control channel interference mitigation Type A receiver for 4 CRS antenna ports for UEs with 2 receiver antenna ports),FDD,PDCCH/PCFICH,8.4.1.2.9 Test 1,UE may skip the tests 8.4.1.2.6 and 8.4.2.2.6 defined for test set 1
,,TDD,PDCCH/PCFICH,8.4.2.2.9 Test 1,
3,cch-InterfMitigation-RefRecTypeB-r13,FDD,PDCCH/PCFICH,8.4.1.2.5 Test 18.4.1.2.7 Test 18.4.1.2.8 Test 1,UE may skip the tests defined for test set 1
,,,PHICH,8.5.1.2.5 Test 18.5.1.2.7 Test 18.5.1.2.8 Test 1,
,,,EPDCCH,8.8.4.1 Test 18.8.6.1 Test 1,
,,TDD,PDCCH/PCFICH,8.4.2.2.7 Test 18.4.2.2.8 Test 1,
,,,PHICH,8.5.2.2.7 Test 18.5.2.2.8 Test 1,
,,,EPDCCH,8.8.4.2 Test 18.8.5.1 Test 1,
4,MMSE-IRC DL Control Channel interference mitigation receiver for UEs with 4 receiver antenna ports [TS 36.306 Section 6.6.5],FDD,PDCCH/PCFICH,8.10.2.1.4 Test 1,
,,TDD,PDCCH/PCFICH,8.10.2.2.4 Test 1,
5,[Enhanced downlink control channel interference mitigation Type A receiver for 2 CRS antenna ports for UEs with 1 receiver antenna ports and Category 1bis],FDD,PDCCH/PCFICH,8.9.4.1.1 Test 1,
,,TDD,PDCCH/PCFICH,[8.9.4.2.1 Test 1],
6,[Enhanced downlink control channel interference mitigation Type A receiver for 4 CRS antenna ports for UEs with 1 receiver antenna ports and Category 1bis],FDD,PDCCH/PCFICH,8.9.4.1.2 Test 1,UE may skip the tests defined for test set 5
,,TDD,PDCCH/PCFICH,[8.9.4.2.2 Test 1],
7,[Enhanced downlink control channel interference mitigation Type A receiver for 2 CRS antenna ports for UEs with 1 receiver antenna ports and Category M2],FDD,MPDCCH,8.11.2.1.3 Test 18.11.2.1.4 Test 1,
,,TDD,MPDCCH,8.11.2.2.3 Test 18.11.2.2.4 Test 1,
