Parameter,,Unit,Test,
Bandwidth,,MHz,10,
Transmission mode,,,2,
Uplink downlink configuration,,,2,
Special subframe configuration,,,4,
CSI-MeasSubframeSet-r12,,,0001100000,
Downlink power allocation,,dB,-3,
,,dB,-3,
,,dB,0,
SNR in CSI subframe set 0,,dB,0,1
SNR in CSI subframe set 1,,dB,10,11
,,dB[mW/15kHz],-98,-97
for CSI subframe set 0,,dB[mW/15kHz],-98,-98
for CSI subframe set 1,,dB[mW/15kHz],-108,-108
Propagation channel,,,"Clause B.2.4 with s, a = 1, Hz",
Antenna configuration,,,2x2,
CRS reference signals,,,Antenna port 0 and 1,
Zero-Power CSI-RS configuration 0ICSI-RS / ZeroPowerCSI-RS bitmap,,,3 /0000010000000000,
Zero-Power CSI-RS configuration 1ICSI-RS / ZeroPowerCSI-RS bitmap,,,4 /0100000000000000,
PDSCH scheduled subframes for CSI subframe set 0,,,"8,9",
PDSCH scheduled subframes for CSI subframe set 1,,,"3,4",
Reporting interval (Note 4),,ms,10 per subframe set,
CQI delay,,ms,15 for CSI subframe set 015 for CSI subframe set 1,
Reporting mode,,,PUSCH 3-0,
Sub-band size,,RB,6 (full size),
Max number of HARQ transmissions,,,1,
ACK/NACK feedback mode,,,Multiplexing,
Number of EPDCCH Sets Configured,,,"2 (Note 5,6)",
Number of PRB per EPDCCH Set,,,4,
EPDCCH Subframe Monitoring,,,NA,
EPDCCH Aggregation level,,,8ECCE,
EPDCCH beamforming model,,,Annex B.4.4,
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink subframe not later than SF#(n-4), this reported subband or wideband CQI cannot be applied at the eNB downlink before SF#(n+4)Note 2:Reference measurement channel RC.17 TDD according to Table A.4-1 with one/two sided dynamic OCNG Pattern OP.1/2 TDD as described in Annex A.5.2.1/2.Note 3:In the test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level for each subframe set separately..Note 4:For CSI subframe set 0, PDCCH DCI format 0 with a trigger for aperiodic CQI shall be transmitted in downlink SF#3 to allow aperiodic CQI/PMI/RI to be transmitted on uplink SF #7. For CSI subframe set 1, PDCCH DCI format 0 with a trigger for aperiodic CQI shall be transmitted in downlink SF#8 to allow aperiodic CQI/PMI/RI to be transmitted on uplink SF#2.Note 5:In case UE supports EPDCCH, the PDSCH scheduling grants are transmitted via EPDCCH, otherwise PDCCH is used.Note 6:The two sets are distributed EPDCCH sets and non-overlapping with PRB = {0, 3, 6, 9} for the first set and PRB = {40, 43, 46, 49} for the second set. EPDCCH set is selected after scheduling decision for PDSCH to avoid collision between PDSCH and EPDCCH PRBs, respectively. EPDCCH is only transmitted from one set. The starting symbol for EPDCCH is derived from the PCFICH. RRC signalling epdcch-StartSymbol-r11is not configured",,,,
