Parameter,,Unit,Test 3,,Test 4,
Bandwidth,,MHz,10 MHz,,,
Transmission mode,,,4 (ports 0 and 1),,,
Downlink power allocation,,dB,-3,,,
,,dB,-3,,,
,,dB,0,,,
SNR (Note 3),,dB,1,2,9,10
,,dB[mW/15kHz],-97,-96,-89,-88
,,dB[mW/15kHz],-98,,-98,
Propagation channel,,,EPA5,,,
Correlation and antenna configuration,,,High (2 x 2),,,
Reporting mode,,,PUSCH 1-1,,,
Reporting interval,,ms,5,,,
CQI delay,,subslots,8 or 12 (Note 1),,,
Max number of HARQ transmissions,,,1,,,
CodeBookSubsetRestriction bitmap,,,00 0001,,,
DL TTI length,,,Subslot,,,
Configured SPDCCH-PRB sets,,,{Set 1},,,
SPDCCH-PRB set used for DCI transmission,,,Set 1,,,
"Note 1:If the UE reports in an available uplink reporting instance at subslot #n based on CQI estimation at a downlink slot not later than subslot #(n-k), this reported wideband CQI cannot be applied at the eNB downlink before subslot #(n+k), where k = 4 for UE capability ProcessingTimelineSet=set1 and k=6 for UE capability ProcessingTimelineSet=set2.Note 2:Reference measurement channel RC.28 FDD according to Table A.4-1 for Categories 2 or higher with one sided dynamic OCNG Pattern OP.1 FDD as described in Annex A.5.1.1.Note 3:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.",,,,,,
